network,source,target,similarity,source_n_speeches,target_n_speeches,default_visible
ai_topics,Abraham Lincoln,Andrew Jackson,0.23718024455746173,15,26,True
ai_topics,Abraham Lincoln,Andrew Johnson,0.278198467933052,15,31,True
ai_topics,Abraham Lincoln,Barack Obama,0.08791485255174605,15,51,True
ai_topics,Abraham Lincoln,Benjamin Harrison,0.144479935597097,15,16,True
ai_topics,Abraham Lincoln,Bill Clinton,0.10216444164890864,15,39,True
ai_topics,Abraham Lincoln,Calvin Coolidge,0.2128934984223899,15,12,True
ai_topics,Abraham Lincoln,Chester A. Arthur,0.13099378718619864,15,11,True
ai_topics,Abraham Lincoln,Donald Trump,0.1009068125893247,15,53,True
ai_topics,Abraham Lincoln,Dwight D. Eisenhower,0.09321569777486223,15,15,True
ai_topics,Abraham Lincoln,Franklin D. Roosevelt,0.08675183383150901,15,49,True
ai_topics,Abraham Lincoln,Franklin Pierce,0.5183055832580263,15,15,True
ai_topics,Abraham Lincoln,George H. W. Bush,0.09507374428931072,15,23,True
ai_topics,Abraham Lincoln,George W. Bush,0.062077993702593086,15,38,True
ai_topics,Abraham Lincoln,George Washington,0.22774806056391822,15,21,True
ai_topics,Abraham Lincoln,Gerald Ford,0.10917055096410687,15,14,True
ai_topics,Abraham Lincoln,Grover Cleveland,0.13474117689118836,15,32,True
ai_topics,Abraham Lincoln,Harry S. Truman,0.06516811857085317,15,19,True
ai_topics,Abraham Lincoln,Herbert Hoover,0.10990087825242305,15,30,True
ai_topics,Abraham Lincoln,James A. Garfield,0.36571421401973053,15,1,False
ai_topics,Abraham Lincoln,James Buchanan,0.6386223439096981,15,14,True
ai_topics,Abraham Lincoln,James K. Polk,0.21490921520340905,15,25,True
ai_topics,Abraham Lincoln,James Madison,0.13882402186382922,15,21,True
ai_topics,Abraham Lincoln,James Monroe,0.18208876175598018,15,10,True
ai_topics,Abraham Lincoln,Jimmy Carter,0.08010026271301521,15,22,True
ai_topics,Abraham Lincoln,Joe Biden,0.09628465729970438,15,28,True
ai_topics,Abraham Lincoln,John Adams,0.15658440533833673,15,9,True
ai_topics,Abraham Lincoln,John F. Kennedy,0.06595523734555638,15,44,True
ai_topics,Abraham Lincoln,John Quincy Adams,0.18413184474394045,15,8,True
ai_topics,Abraham Lincoln,John Tyler,0.1832895703880908,15,18,True
ai_topics,Abraham Lincoln,Lyndon B. Johnson,0.0629698950143447,15,71,True
ai_topics,Abraham Lincoln,Martin Van Buren,0.1682927757035168,15,10,True
ai_topics,Abraham Lincoln,Millard Fillmore,0.3400413939483719,15,7,True
ai_topics,Abraham Lincoln,Richard M. Nixon,0.09336587488725845,15,23,True
ai_topics,Abraham Lincoln,Ronald Reagan,0.09836393318116687,15,60,True
ai_topics,Abraham Lincoln,Rutherford B. Hayes,0.17052330832112025,15,16,True
ai_topics,Abraham Lincoln,Theodore Roosevelt,0.1274332951079512,15,22,True
ai_topics,Abraham Lincoln,Thomas Jefferson,0.16927123022932086,15,24,True
ai_topics,Abraham Lincoln,Ulysses S. Grant,0.23561732682744835,15,32,True
ai_topics,Abraham Lincoln,Warren G. Harding,0.17473936299136603,15,18,True
ai_topics,Abraham Lincoln,William Harrison,0.2329662211557116,15,1,False
ai_topics,Abraham Lincoln,William McKinley,0.1342602609842361,15,14,True
ai_topics,Abraham Lincoln,William Taft,0.1144528540239934,15,12,True
ai_topics,Abraham Lincoln,Woodrow Wilson,0.1129627249347177,15,33,True
ai_topics,Abraham Lincoln,Zachary Taylor,0.29790103011335767,15,4,False
ai_topics,Andrew Jackson,Andrew Johnson,0.5188441260935404,26,31,True
ai_topics,Andrew Jackson,Barack Obama,0.19791902716843268,26,51,True
ai_topics,Andrew Jackson,Benjamin Harrison,0.5854456464539292,26,16,True
ai_topics,Andrew Jackson,Bill Clinton,0.20790740807192248,26,39,True
ai_topics,Andrew Jackson,Calvin Coolidge,0.5890915284407532,26,12,True
ai_topics,Andrew Jackson,Chester A. Arthur,0.6516976000093204,26,11,True
ai_topics,Andrew Jackson,Donald Trump,0.25724223140521685,26,53,True
ai_topics,Andrew Jackson,Dwight D. Eisenhower,0.2647602985352214,26,15,True
ai_topics,Andrew Jackson,Franklin D. Roosevelt,0.2556638700239522,26,49,True
ai_topics,Andrew Jackson,Franklin Pierce,0.6526998236776045,26,15,True
ai_topics,Andrew Jackson,George H. W. Bush,0.28654970997336937,26,23,True
ai_topics,Andrew Jackson,George W. Bush,0.16907536050619376,26,38,True
ai_topics,Andrew Jackson,George Washington,0.6848146823082846,26,21,True
ai_topics,Andrew Jackson,Gerald Ford,0.3877490572781079,26,14,True
ai_topics,Andrew Jackson,Grover Cleveland,0.6195746091039344,26,32,True
ai_topics,Andrew Jackson,Harry S. Truman,0.17930890865752172,26,19,True
ai_topics,Andrew Jackson,Herbert Hoover,0.5372564970846446,26,30,True
ai_topics,Andrew Jackson,James A. Garfield,0.5834904394536139,26,1,False
ai_topics,Andrew Jackson,James Buchanan,0.7352474264203738,26,14,True
ai_topics,Andrew Jackson,James K. Polk,0.5923921866281426,26,25,True
ai_topics,Andrew Jackson,James Madison,0.4369269625343053,26,21,True
ai_topics,Andrew Jackson,James Monroe,0.64467357267035,26,10,True
ai_topics,Andrew Jackson,Jimmy Carter,0.27901527066647763,26,22,True
ai_topics,Andrew Jackson,Joe Biden,0.21080797958732986,26,28,True
ai_topics,Andrew Jackson,John Adams,0.4265136058822221,26,9,True
ai_topics,Andrew Jackson,John F. Kennedy,0.18865920978234596,26,44,True
ai_topics,Andrew Jackson,John Quincy Adams,0.6909364369801799,26,8,True
ai_topics,Andrew Jackson,John Tyler,0.8341347540832826,26,18,True
ai_topics,Andrew Jackson,Lyndon B. Johnson,0.17846114914305145,26,71,True
ai_topics,Andrew Jackson,Martin Van Buren,0.8321580781092333,26,10,True
ai_topics,Andrew Jackson,Millard Fillmore,0.6895841169355053,26,7,True
ai_topics,Andrew Jackson,Richard M. Nixon,0.2769122339062479,26,23,True
ai_topics,Andrew Jackson,Ronald Reagan,0.22907377486011624,26,60,True
ai_topics,Andrew Jackson,Rutherford B. Hayes,0.650542418592976,26,16,True
ai_topics,Andrew Jackson,Theodore Roosevelt,0.4680380742440202,26,22,True
ai_topics,Andrew Jackson,Thomas Jefferson,0.5224538813858821,26,24,True
ai_topics,Andrew Jackson,Ulysses S. Grant,0.6333403471969103,26,32,True
ai_topics,Andrew Jackson,Warren G. Harding,0.5159901131513561,26,18,True
ai_topics,Andrew Jackson,William Harrison,0.7134370867389551,26,1,False
ai_topics,Andrew Jackson,William McKinley,0.5325735301595163,26,14,True
ai_topics,Andrew Jackson,William Taft,0.5735480050235159,26,12,True
ai_topics,Andrew Jackson,Woodrow Wilson,0.40632840429679784,26,33,True
ai_topics,Andrew Jackson,Zachary Taylor,0.6477057656912683,26,4,False
ai_topics,Andrew Johnson,Barack Obama,0.12408442637561982,31,51,True
ai_topics,Andrew Johnson,Benjamin Harrison,0.25823188685854187,31,16,True
ai_topics,Andrew Johnson,Bill Clinton,0.16326886221807355,31,39,True
ai_topics,Andrew Johnson,Calvin Coolidge,0.29938894775253927,31,12,True
ai_topics,Andrew Johnson,Chester A. Arthur,0.3452136542083672,31,11,True
ai_topics,Andrew Johnson,Donald Trump,0.1761836637941411,31,53,True
ai_topics,Andrew Johnson,Dwight D. Eisenhower,0.1580031682374697,31,15,True
ai_topics,Andrew Johnson,Franklin D. Roosevelt,0.14552537437704657,31,49,True
ai_topics,Andrew Johnson,Franklin Pierce,0.4097185199591802,31,15,True
ai_topics,Andrew Johnson,George H. W. Bush,0.15199761922764501,31,23,True
ai_topics,Andrew Johnson,George W. Bush,0.09230030713464267,31,38,True
ai_topics,Andrew Johnson,George Washington,0.417086871978359,31,21,True
ai_topics,Andrew Johnson,Gerald Ford,0.2320265775175363,31,14,True
ai_topics,Andrew Johnson,Grover Cleveland,0.29053092175699863,31,32,True
ai_topics,Andrew Johnson,Harry S. Truman,0.08836612509426062,31,19,True
ai_topics,Andrew Johnson,Herbert Hoover,0.20310636126696816,31,30,True
