taxonomy_level,speech_type,topic,n_speeches_with_topic,n_speeches_in_type,topic_rate,overall_rate,lift
level2,campaign_or_debate,Agriculture & Farm Prices,31,70,0.44285714285714284,0.23935666982024598,1.850197628458498
level2,campaign_or_debate,"Civil Rights, Voting Rights & Discrimination",34,70,0.4857142857142857,0.25260170293282874,1.9228464419475657
level2,campaign_or_debate,Civil Service Reform & the Merit System,12,70,0.17142857142857143,0.12866603595080417,1.3323529411764705
level2,campaign_or_debate,"Coinage, Currency & Specie",9,70,0.12857142857142856,0.12582781456953643,1.0218045112781953
level2,campaign_or_debate,Cold War & Great-Power Rivalry,41,70,0.5857142857142857,0.3273415326395459,1.7893063583815028
level2,campaign_or_debate,"Commemoration, Eulogy & National Mourning",15,70,0.21428571428571427,0.23273415326395458,0.9207317073170731
level2,campaign_or_debate,Conservation & the Environment,27,70,0.38571428571428573,0.19489120151371808,1.979126213592233
level2,campaign_or_debate,Constitutional Union & Federalism,22,70,0.3142857142857143,0.2535477767265847,1.23955223880597
level2,campaign_or_debate,"Crime, Insurrection & Federal Law Enforcement",26,70,0.37142857142857144,0.3197729422894986,1.1615384615384616
level2,campaign_or_debate,Elections & Voting Integrity,20,70,0.2857142857142857,0.16367076631977295,1.7456647398843927
level2,campaign_or_debate,"Executive Departments, Postal & Administrative Housekeeping",14,70,0.2,0.33112582781456956,0.604
level2,campaign_or_debate,"Executive Power, Vetoes & the Courts",31,70,0.44285714285714284,0.4011352885525071,1.1040094339622641
level2,campaign_or_debate,Great Depression Recovery,17,70,0.24285714285714285,0.08230842005676443,2.950574712643678
level2,campaign_or_debate,"Health Care, Medicare & Social Security",32,70,0.45714285714285713,0.18448438978240303,2.477948717948718
level2,campaign_or_debate,Immigration & Border Security,15,70,0.21428571428571427,0.1456953642384106,1.4707792207792207
level2,campaign_or_debate,"Indian Affairs, Removal & Allotment",1,70,0.014285714285714285,0.152317880794702,0.09378881987577639
level2,campaign_or_debate,"Internal Improvements, Energy & Infrastructure",32,70,0.45714285714285713,0.34815515610217596,1.3130434782608695
level2,campaign_or_debate,"Iraq, Gulf Wars, the War on Terror & Interventions",16,70,0.22857142857142856,0.13434247871333965,1.701408450704225
level2,campaign_or_debate,"Labor, Wages & Working Conditions",38,70,0.5428571428571428,0.25922421948912017,2.0941605839416058
level2,campaign_or_debate,Mexican War,1,70,0.014285714285714285,0.023651844843897825,0.604
level2,campaign_or_debate,Middle East & Israel,19,70,0.2714285714285714,0.13718070009460737,1.9786206896551723
level2,campaign_or_debate,"Military Preparedness, Armed Forces & Veterans",44,70,0.6285714285714286,0.5789971617786187,1.0856209150326797
level2,campaign_or_debate,Monroe Doctrine & Latin American Policy,21,70,0.3,0.30179754020813626,0.9940438871473353
level2,campaign_or_debate,National Bank & Banking Crises,16,70,0.22857142857142856,0.17975402081362346,1.271578947368421
level2,campaign_or_debate,Neutral Rights & Maritime Depredations,2,70,0.02857142857142857,0.11258278145695365,0.253781512605042
level2,campaign_or_debate,Nuclear Weapons & Arms Control,28,70,0.4,0.22421948912015138,1.7839662447257385
level2,campaign_or_debate,"Partisan Combat, Press Conferences & Media Attacks",53,70,0.7571428571428571,0.2412488174077578,3.1384313725490194
level2,campaign_or_debate,"Personal Narrative, Storytelling & Boasting",32,70,0.45714285714285713,0.17407757805108798,2.626086956521739
level2,campaign_or_debate,Presidential Humility & Reflection on Office,51,70,0.7285714285714285,0.32355723746452225,2.251754385964912
level2,campaign_or_debate,"Prosperity, Jobs & the Middle Class",47,70,0.6714285714285714,0.29990539262062443,2.2388012618296527
level2,campaign_or_debate,"Providence, Faith & American Ideals",64,70,0.9142857142857143,0.7303689687795648,1.2518134715025906
level2,campaign_or_debate,"Public Debt, Revenue & Treasury Finance",15,70,0.21428571428571427,0.2980132450331126,0.7190476190476189
level2,campaign_or_debate,Public Lands & Homestead Settlement,7,70,0.1,0.1400189214758751,0.7141891891891893
level2,campaign_or_debate,Reconstruction & Southern Self-Government,1,70,0.014285714285714285,0.04919583727530748,0.29038461538461535
level2,campaign_or_debate,"Relations with Spain, Mexico & Territorial Claims",4,70,0.05714285714285714,0.14853358561967833,0.3847133757961783
level2,campaign_or_debate,"Slavery, Emancipation & Sectionalism",6,70,0.08571428571428572,0.09082308420056764,0.94375
level2,campaign_or_debate,Space Exploration,6,70,0.08571428571428572,0.08325449385052035,1.0295454545454545
level2,campaign_or_debate,"Tariffs, Reciprocity & Navigation Laws",23,70,0.32857142857142857,0.3424787133396405,0.9593922651933702
level2,campaign_or_debate,"Taxes, Budget Deficits & Federal Spending",35,70,0.5,0.2876064333017975,1.7384868421052633
level2,campaign_or_debate,"Territorial Organization, Statehood & Insular Governance",8,70,0.11428571428571428,0.15042573320719016,0.7597484276729559
level2,campaign_or_debate,"Treaties, Diplomacy & International Arbitration",28,70,0.4,0.510879848628193,0.782962962962963
level2,campaign_or_debate,"Trusts, Corporations & Antitrust",15,70,0.21428571428571427,0.10879848628192999,1.9695652173913043
level2,campaign_or_debate,Vietnam War,14,70,0.2,0.13718070009460737,1.4579310344827587
level2,campaign_or_debate,"Welfare, Poverty & Economic Opportunity",36,70,0.5142857142857142,0.22232734153263956,2.3131914893617016
level2,campaign_or_debate,"World Order, Foreign Aid & Democracy Promotion",29,70,0.4142857142857143,0.30368968779564803,1.3641744548286607
level2,campaign_or_debate,World War I Mobilization & War Aims,11,70,0.15714285714285714,0.052980132450331126,2.9660714285714285
level2,campaign_or_debate,World War II Military Operations,9,70,0.12857142857142856,0.11069063386944182,1.1615384615384614
level2,eulogy_or_commemoration,Agriculture & Farm Prices,1,31,0.03225806451612903,0.23935666982024598,0.13476985847252326
level2,eulogy_or_commemoration,"Civil Rights, Voting Rights & Discrimination",9,31,0.2903225806451613,0.25260170293282874,1.1493294671982603
level2,eulogy_or_commemoration,Civil Service Reform & the Merit System,1,31,0.03225806451612903,0.12866603595080417,0.25071157495256163
level2,eulogy_or_commemoration,Cold War & Great-Power Rivalry,9,31,0.2903225806451613,0.3273415326395459,0.8869103113928771
level2,eulogy_or_commemoration,"Commemoration, Eulogy & National Mourning",29,31,0.9354838709677419,0.23273415326395458,4.0195384211906635
level2,eulogy_or_commemoration,Conservation & the Environment,1,31,0.03225806451612903,0.19489120151371808,0.16551832132790478
level2,eulogy_or_commemoration,Constitutional Union & Federalism,9,31,0.2903225806451613,0.2535477767265847,1.145040924410207
level2,eulogy_or_commemoration,"Crime, Insurrection & Federal Law Enforcement",10,31,0.3225806451612903,0.3197729422894986,1.0087803015842718
level2,eulogy_or_commemoration,Early Naval Wars: Barbary & the War of 1812,2,31,0.06451612903225806,0.06149479659413434,1.0491315136476427
level2,eulogy_or_commemoration,Elections & Voting Integrity,5,31,0.16129032258064516,0.16367076631977295,0.9854559015476412
level2,eulogy_or_commemoration,"Executive Departments, Postal & Administrative Housekeeping",2,31,0.06451612903225806,0.33112582781456956,0.19483870967741934
level2,eulogy_or_commemoration,"Executive Power, Vetoes & the Courts",4,31,0.12903225806451613,0.4011352885525071,0.3216676810712112
level2,eulogy_or_commemoration,Great Depression Recovery,2,31,0.06451612903225806,0.08230842005676443,0.7838338895068594
level2,eulogy_or_commemoration,"Health Care, Medicare & Social Security",4,31,0.12903225806451613,0.18448438978240303,0.6994210090984284
