taxonomy_level,era,speech_type,source,target,shared_paragraphs,shared_speeches,jaccard,lift,source_marginal_rate,target_marginal_rate
level2,all,all,Agriculture & Farm Prices,"Civil Rights, Voting Rights & Discrimination",4,4,0.002233389168062535,0.1881170896345817,0.019597559965773274,0.029948383891357754
level2,all,all,Agriculture & Farm Prices,Civil Service Reform & the Merit System,6,6,0.004942339373970346,0.6003148301574152,0.019597559965773274,0.014077120538794887
level2,all,all,Agriculture & Farm Prices,"Coinage, Currency & Specie",4,3,0.003137254901960784,0.35871184930320066,0.019597559965773274,0.01570565016975351
level2,all,all,Agriculture & Farm Prices,Cold War & Great-Power Rivalry,11,11,0.0036303630363036304,0.2407955238941155,0.019597559965773274,0.06434072152143311
level2,all,all,Agriculture & Farm Prices,Conservation & the Environment,28,25,0.022169437846397466,2.4591209910062783,0.019597559965773274,0.016036876535372217
level2,all,all,Agriculture & Farm Prices,Constitutional Union & Federalism,1,1,0.0004909180166912126,0.0384237654844731,0.019597559965773274,0.036655717795136496
level2,all,all,Agriculture & Farm Prices,"Crime, Insurrection & Federal Law Enforcement",2,2,0.0009407337723424271,0.0719700431077296,0.019597559965773274,0.03913991553727677
level2,all,all,Agriculture & Farm Prices,Elections & Voting Integrity,1,1,0.0007830853563038371,0.08983584606228923,0.019597559965773274,0.01567804797261862
level2,all,all,Agriculture & Farm Prices,"Executive Departments, Postal & Administrative Housekeeping",21,19,0.010081613058089293,0.7686958191040071,0.019597559965773274,0.038477462806039364
level2,all,all,Agriculture & Farm Prices,"Executive Power, Vetoes & the Courts",3,3,0.0012776831345826234,0.0932847542292144,0.019597559965773274,0.04529520549835767
level2,all,all,Agriculture & Farm Prices,Great Depression Recovery,24,14,0.02185792349726776,2.972432654177492,0.019597559965773274,0.011372105219575478
level2,all,all,Agriculture & Farm Prices,"Health Care, Medicare & Social Security",14,12,0.007403490216816499,0.5978030526253758,0.019597559965773274,0.032984625576195865
level2,all,all,Agriculture & Farm Prices,Immigration & Border Security,2,2,0.0014357501794687725,0.14898324252081835,0.019597559965773274,0.018907505037400976
level2,all,all,Agriculture & Farm Prices,"Indian Affairs, Removal & Allotment",6,5,0.004313443565780014,0.4456485638723169,0.019597559965773274,0.01896270943167076
level2,all,all,Agriculture & Farm Prices,"Internal Improvements, Energy & Infrastructure",39,32,0.015898899306971057,1.1167472850571443,0.019597559965773274,0.049187115294377436
level2,all,all,Agriculture & Farm Prices,"Labor, Wages & Working Conditions",57,47,0.0345873786407767,2.9231410573996746,0.019597559965773274,0.027464186149217477
level2,all,all,Agriculture & Farm Prices,Middle East & Israel,2,2,0.0015060240963855422,0.16460245343025898,0.019597559965773274,0.017113362223633
level2,all,all,Agriculture & Farm Prices,"Military Preparedness, Armed Forces & Veterans",5,5,0.0013031013812874641,0.08146034572698002,0.019597559965773274,0.08645008142648154
level2,all,all,Agriculture & Farm Prices,Monroe Doctrine & Latin American Policy,7,5,0.0030823425803610744,0.22779803822937628,0.019597559965773274,0.04328024510751056
level2,all,all,Agriculture & Farm Prices,National Bank & Banking Crises,21,18,0.012034383954154728,1.0147367157490397,0.019597559965773274,0.029147920174445886
level2,all,all,Agriculture & Farm Prices,Nuclear Weapons & Arms Control,4,3,0.0024479804161566705,0.21994293346284605,0.019597559965773274,0.02561483894117972
level2,all,all,Agriculture & Farm Prices,"Partisan Combat, Press Conferences & Media Attacks",16,11,0.006917423259835711,0.504279289076025,0.019597559965773274,0.04468795716139005
level2,all,all,Agriculture & Farm Prices,"Personal Narrative, Storytelling & Boasting",4,3,0.003110419906687403,0.35190869354055365,0.019597559965773274,0.016009274338237324
level2,all,all,Agriculture & Farm Prices,Polygamy in the Territories,1,1,0.0012987012987012987,0.8365042715308243,0.019597559965773274,0.0016837340252284082
level2,all,all,Agriculture & Farm Prices,"Prosperity, Jobs & the Middle Class",32,28,0.015541525012141816,1.1823724388328523,0.019597559965773274,0.038118634243285765
level2,all,all,Agriculture & Farm Prices,"Providence, Faith & American Ideals",15,13,0.003943217665615142,0.24618893806712905,0.019597559965773274,0.08581523089237904
level2,all,all,Agriculture & Farm Prices,"Public Debt, Revenue & Treasury Finance",13,11,0.006256015399422521,0.48033880327584627,0.019597559965773274,0.038118634243285765
level2,all,all,Agriculture & Farm Prices,Public Lands & Homestead Settlement,14,14,0.012345679012345678,1.6309923467747125,0.019597559965773274,0.012089762345082668
level2,all,all,Agriculture & Farm Prices,"Relations with Spain, Mexico & Territorial Claims",1,1,0.0006489292667099286,0.06133024106175515,0.019597559965773274,0.022965028016230092
level2,all,all,Agriculture & Farm Prices,"Slavery, Emancipation & Sectionalism",1,1,0.0006349206349206349,0.05892235630875322,0.019597559965773274,0.023903502718816416
level2,all,all,Agriculture & Farm Prices,Space Exploration,2,2,0.0021482277121374865,0.45763910819175146,0.019597559965773274,0.006155289961080902
level2,all,all,Agriculture & Farm Prices,"Tariffs, Reciprocity & Navigation Laws",100,66,0.04224757076468103,2.9041980969482233,0.019597559965773274,0.04849706036600514
level2,all,all,Agriculture & Farm Prices,"Taxes, Budget Deficits & Federal Spending",37,27,0.015598650927487353,1.11123610408774,0.019597559965773274,0.0468961329321814
level2,all,all,Agriculture & Farm Prices,"Territorial Organization, Statehood & Insular Governance",7,7,0.004814305364511692,0.4756156111100693,0.019597559965773274,0.020729250048303845
level2,all,all,Agriculture & Farm Prices,"Treaties, Diplomacy & International Arbitration",6,6,0.0014140938015555031,0.08651047283986485,0.019597559965773274,0.09768417566038257
level2,all,all,Agriculture & Farm Prices,"Trusts, Corporations & Antitrust",14,12,0.011084718923198733,1.2599200139106246,0.019597559965773274,0.015650445775483728
level2,all,all,Agriculture & Farm Prices,Vietnam War,4,4,0.002097535395909806,0.16994757889552134,0.019597559965773274,0.03315023875900522
level2,all,all,Agriculture & Farm Prices,"Welfare, Poverty & Economic Opportunity",19,15,0.011494252873563218,1.0078050423120846,0.019597559965773274,0.026553313643766042
level2,all,all,Agriculture & Farm Prices,"World Order, Foreign Aid & Democracy Promotion",24,12,0.010825439783491205,0.7998969650693186,0.019597559965773274,0.042258963813519554
level2,all,all,Agriculture & Farm Prices,World War I Mobilization & War Aims,6,2,0.00644468313641246,1.3487249488118134,0.019597559965773274,0.00626569874962047
level2,all,all,Agriculture & Farm Prices,World War II Military Operations,4,4,0.0030075187969924814,0.32709461899602754,0.019597559965773274,0.017223771012172567
level2,all,all,Chinese Immigration & Exclusion,"Civil Rights, Voting Rights & Discrimination",1,1,0.0008375209380234506,0.30355257645580225,0.003036241684838113,0.029948383891357754
level2,all,all,Chinese Immigration & Exclusion,Civil Service Reform & the Merit System,1,1,0.0016155088852988692,0.6457932263814617,0.003036241684838113,0.014077120538794887
level2,all,all,Chinese Immigration & Exclusion,"Coinage, Currency & Specie",1,1,0.0014749262536873156,0.578830484102892,0.003036241684838113,0.01570565016975351
level2,all,all,Chinese Immigration & Exclusion,"Crime, Insurrection & Federal Law Enforcement",6,2,0.003942181340341655,1.3936017438133093,0.003036241684838113,0.03913991553727677
level2,all,all,Chinese Immigration & Exclusion,"Executive Departments, Postal & Administrative Housekeeping",2,2,0.0013315579227696406,0.47253162905960605,0.003036241684838113,0.038477462806039364
level2,all,all,Chinese Immigration & Exclusion,"Executive Power, Vetoes & the Courts",6,4,0.0034383954154727794,1.2042213727771311,0.003036241684838113,0.04529520549835767
level2,all,all,Chinese Immigration & Exclusion,Immigration & Border Security,7,5,0.008883248730964468,3.365666887856669,0.003036241684838113,0.018907505037400976
level2,all,all,Chinese Immigration & Exclusion,"Indian Affairs, Removal & Allotment",1,1,0.001256281407035176,0.4794098187111288,0.003036241684838113,0.01896270943167076
level2,all,all,Chinese Immigration & Exclusion,"Internal Improvements, Energy & Infrastructure",1,1,0.0005288207297726071,0.18482297724721966,0.003036241684838113,0.049187115294377436
level2,all,all,Chinese Immigration & Exclusion,"Labor, Wages & Working Conditions",4,3,0.0036330608537693005,1.3240383736866148,0.003036241684838113,0.027464186149217477
level2,all,all,Chinese Immigration & Exclusion,"Military Preparedness, Armed Forces & Veterans",3,3,0.0009262117937635072,0.3154737025426681,0.003036241684838113,0.08645008142648154
level2,all,all,Chinese Immigration & Exclusion,Monroe Doctrine & Latin American Policy,2,2,0.0011933174224343676,0.4200950834879406,0.003036241684838113,0.04328024510751056
level2,all,all,Chinese Immigration & Exclusion,Polygamy in the Territories,2,2,0.011834319526627219,10.798509687034278,0.003036241684838113,0.0016837340252284082
level2,all,all,Chinese Immigration & Exclusion,"Providence, Faith & American Ideals",2,2,0.0006216972334473111,0.21187169215474136,0.003036241684838113,0.08581523089237904
level2,all,all,Chinese Immigration & Exclusion,Public Lands & Homestead Settlement,1,1,0.0018281535648994515,0.7519510170195102,0.003036241684838113,0.012089762345082668
level2,all,all,Chinese Immigration & Exclusion,"Tariffs, Reciprocity & Navigation Laws",5,5,0.0026852846401718583,0.9372639312878356,0.003036241684838113,0.04849706036600514
level2,all,all,Chinese Immigration & Exclusion,"Territorial Organization, Statehood & Insular Governance",4,3,0.004667444574095682,1.754218617600775,0.003036241684838113,0.020729250048303845
level2,all,all,Chinese Immigration & Exclusion,"Treaties, Diplomacy & International Arbitration",43,18,0.01192457016084304,4.001764751213748,0.003036241684838113,0.09768417566038257
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Civil Service Reform & the Merit System,6,5,0.003775959723096287,0.39283274600162643,0.029948383891357754,0.014077120538794887
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Cold War & Great-Power Rivalry,24,22,0.007075471698113208,0.3437918497826331,0.029948383891357754,0.06434072152143311
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Commemoration, Eulogy & National Mourning",20,13,0.011621150493898896,1.018011689333483,0.029948383891357754,0.018107041320489112
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Conservation & the Environment,15,11,0.009085402786190187,0.8620684185061508,0.029948383891357754,0.016036876535372217
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Constitutional Union & Federalism,14,10,0.005835764902042517,0.3520112708900116,0.029948383891357754,0.036655717795136496
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Crime, Insurrection & Federal Law Enforcement",90,51,0.03729796933278077,2.119302191052498,0.029948383891357754,0.03913991553727677
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Elections & Voting Integrity,34,24,0.021000617665225447,1.99874407736743,0.029948383891357754,0.01567804797261862
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Executive Departments, Postal & Administrative Housekeeping",4,4,0.0016161616161616162,0.09581286487844547,0.029948383891357754,0.038477462806039364
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Executive Power, Vetoes & the Courts",26,18,0.00962962962962963,0.5290434909589241,0.029948383891357754,0.04529520549835767
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Great Depression Recovery,1,1,0.0006684491978609625,0.08104559080130642,0.029948383891357754,0.011372105219575478
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Health Care, Medicare & Social Security",38,34,0.01694915254237288,1.0617989703642288,0.029948383891357754,0.032984625576195865
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Immigration & Border Security,22,20,0.012585812356979404,1.0724047226613744,0.029948383891357754,0.018907505037400976
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Indian Affairs, Removal & Allotment",2,2,0.0011299435028248588,0.09720752084465284,0.029948383891357754,0.01896270943167076
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Internal Improvements, Energy & Infrastructure",8,8,0.0027981811822315496,0.1499025068917542,0.029948383891357754,0.049187115294377436
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Iraq, Gulf Wars, the War on Terror & Interventions",7,6,0.003389830508474576,0.23681406673856917,0.029948383891357754,0.02724336857213834
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Labor, Wages & Working Conditions",30,26,0.014634146341463415,1.0067572887478868,0.029948383891357754,0.027464186149217477
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Middle East & Israel,4,4,0.0023515579071134627,0.2154244090976661,0.029948383891357754,0.017113362223633
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Military Preparedness, Armed Forces & Veterans",34,20,0.008128137700215157,0.36247976882014704,0.029948383891357754,0.08645008142648154
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Monroe Doctrine & Latin American Policy,5,5,0.0018882175226586104,0.10647571240477756,0.029948383891357754,0.04328024510751056
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Nuclear Weapons & Arms Control,5,4,0.00249003984063745,0.17990723820117588,0.029948383891357754,0.02561483894117972
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Partisan Combat, Press Conferences & Media Attacks",30,19,0.011219147344801795,0.6187297728870583,0.029948383891357754,0.04468795716139005
