edge_id,edge_type,source_president_profile_id,source_president_name,target_president_profile_id,target_president_name,raw_mentions,reference_paragraph_count,distinct_speeches,function_counts,stance_counts,first_speech_date,last_speech_date,evidence_row_count,evidence_status
invocation_edge_c7b7ed2bd641cdd842774689392950bb309fc74e9d4956a5651cace88f9bc2d3,actual_speaker_invokes_former_president,lyndon-b-johnson,Lyndon B. Johnson,john-f-kennedy,John F. Kennedy,44,42,23,"{""ceremonial/biographical"":4,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":1,""other/unclear"":34,""policy inheritance"":4}","{""mixed"":0,""negative"":1,""neutral"":35,""positive"":8,""unclear"":0}",1963-11-27,1969-01-14,44,AI-classified; not human-validated
invocation_edge_541af1a3e8704eae6869d17616e948447478b49bdaa4ff61f569c354189e9489,actual_speaker_invokes_former_president,donald-trump,Donald Trump,joe-biden,Joe Biden,39,36,6,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":3,""institutional precedent"":10,""legacy/inheritance"":1,""other/unclear"":23,""policy inheritance"":2}","{""mixed"":0,""negative"":4,""neutral"":33,""positive"":2,""unclear"":0}",2025-01-20,2026-02-25,39,AI-classified; not human-validated
invocation_edge_187a5c77910e1c5bdd036fb1a16256078d81a57129a9a4a0822869d271089c1d,actual_speaker_invokes_former_president,lyndon-b-johnson,Lyndon B. Johnson,dwight-d-eisenhower,Dwight D. Eisenhower,28,27,22,"{""ceremonial/biographical"":2,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":6,""legacy/inheritance"":0,""other/unclear"":16,""policy inheritance"":4}","{""mixed"":0,""negative"":0,""neutral"":22,""positive"":6,""unclear"":0}",1963-11-28,1967-11-17,28,AI-classified; not human-validated
invocation_edge_daf9372d9f019ebb3070fb606dc0bfc23f096fee52a9a2a7b25dd9fc8278a29c,actual_speaker_invokes_former_president,lyndon-b-johnson,Lyndon B. Johnson,harry-s-truman,Harry S. Truman,26,24,16,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":2,""legacy/inheritance"":0,""other/unclear"":22,""policy inheritance"":2}","{""mixed"":0,""negative"":0,""neutral"":23,""positive"":3,""unclear"":0}",1963-11-28,1969-01-14,26,AI-classified; not human-validated
invocation_edge_48fe7cd03db2dabb98059432aff22d0945b2bce985a315fac8fe74d27563d4ff,actual_speaker_invokes_former_president,ronald-reagan,Ronald Reagan,thomas-jefferson,Thomas Jefferson,34,23,8,"{""ceremonial/biographical"":1,""contemporary rivalry"":0,""historical comparison"":2,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":30,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":28,""positive"":6,""unclear"":0}",1964-10-27,1989-01-11,34,AI-classified; not human-validated
invocation_edge_2dde089d25df7635a477791c993ba60c74ad4dee75db4af2519285ac90792d5a,actual_speaker_invokes_former_president,jimmy-carter,Jimmy Carter,richard-m-nixon,Richard M. Nixon,24,21,7,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":3,""legacy/inheritance"":0,""other/unclear"":21,""policy inheritance"":0}","{""mixed"":0,""negative"":1,""neutral"":22,""positive"":1,""unclear"":0}",1976-09-23,1980-10-28,24,AI-classified; not human-validated
invocation_edge_8bb2e272b0720b6dd23e65df35c0bc755a7ba9a98fc37dec8629c7a218a5473d,actual_speaker_invokes_former_president,richard-m-nixon,Richard M. Nixon,harry-s-truman,Harry S. Truman,19,15,7,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":10,""legacy/inheritance"":1,""other/unclear"":8,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":16,""positive"":3,""unclear"":0}",1960-09-26,1974-02-25,19,AI-classified; not human-validated
invocation_edge_86db2a8b5e25e9e4f6fd191c7af344f5f054521d26c6c3d680a1160249fa86c1,actual_speaker_invokes_former_president,calvin-coolidge,Calvin Coolidge,george-washington,George Washington,15,15,4,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":14,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":13,""positive"":2,""unclear"":0}",1925-07-03,1927-12-06,15,AI-classified; not human-validated
invocation_edge_7d302dfe3b043de2d8e3bec65907cebddbe3b856ecbb317df5eed01448d3fae7,actual_speaker_invokes_former_president,theodore-roosevelt,Theodore Roosevelt,james-monroe,James Monroe,19,14,4,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":1,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":16,""policy inheritance"":2}","{""mixed"":0,""negative"":1,""neutral"":17,""positive"":1,""unclear"":0}",1901-12-03,1906-12-03,19,AI-classified; not human-validated
invocation_edge_a9efc5b10d7e1e3a4c5598fd2e169bd24563b29fe5ed417bc4c9b93d9217a793,actual_speaker_invokes_former_president,harry-s-truman,Harry S. Truman,franklin-d-roosevelt,Franklin D. Roosevelt,17,14,11,"{""ceremonial/biographical"":2,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":3,""legacy/inheritance"":0,""other/unclear"":12,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":13,""positive"":4,""unclear"":0}",1945-04-16,1953-01-15,17,AI-classified; not human-validated
invocation_edge_4b4ef2c7a8d05a608f73d16bd0cd11ede85a4e2640acf90064dfc4136f2b1c3b,actual_speaker_invokes_former_president,john-f-kennedy,John F. Kennedy,franklin-d-roosevelt,Franklin D. Roosevelt,17,14,8,"{""ceremonial/biographical"":1,""contemporary rivalry"":0,""historical comparison"":4,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":12,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":16,""positive"":1,""unclear"":0}",1960-07-15,1963-10-26,17,AI-classified; not human-validated
invocation_edge_f37e5164bf4953e9850231aca2a910c4a5e929344f92f3eb0bee2f93c97ac4be,actual_speaker_invokes_former_president,ronald-reagan,Ronald Reagan,john-f-kennedy,John F. Kennedy,14,13,11,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":12,""policy inheritance"":2}","{""mixed"":0,""negative"":0,""neutral"":14,""positive"":0,""unclear"":0}",1981-06-29,1988-12-16,14,AI-classified; not human-validated
invocation_edge_62748ab0358ec59ce293b07914134c6e6e4e8f3049b9e7e27428ad8846177045,actual_speaker_invokes_former_president,john-f-kennedy,John F. Kennedy,woodrow-wilson,Woodrow Wilson,13,13,10,"{""ceremonial/biographical"":2,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":0,""other/unclear"":9,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":10,""positive"":3,""unclear"":0}",1960-07-15,1963-10-26,13,AI-classified; not human-validated
