candidate_id,edge_id,source_president_profile_id,source_president_name,target_president_profile_id,target_president_name,doc_name,para_idx,speech_date,story_era_id,story_era_label,speech_title,source_url,raw_mention,function,stance,evidence_span,rationale,quotation_status,target_status,rubric_version,evidence_status,annotation_speaker,source_document_owner_profile_id,source_document_owner,cross_owner
517070f3f120f2a28b2cc3d0,invocation_edge_0016586c489dffc3edf0f239327cd3362d70396f7e1c272824c5d60ad04971d9,barack-obama,Barack Obama,woodrow-wilson,Woodrow Wilson,/the-presidency/presidential-speeches/december-10-2009-acceptance-nobel-peace-prize,4,2009-12-10,post-cold-war,Conservative turn & always-on presidency,"December 10, 2009: Acceptance of Nobel Peace Prize",https://millercenter.org/the-presidency/presidential-speeches/december-10-2009-acceptance-nobel-peace-prize,Woodrow Wilson,policy inheritance,negative,"And so, a quarter century after the United States Senate rejected the League of Nations -- an idea for which Woodrow Wilson received this prize -- America led the world in constructing an architecture to keep the peace: a Marshall Plan and a United Nations, mechanisms to govern the waging of war, treaties to protect human rights, prevent genocide, restrict the most dangerous weapons.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Barack Obama,barack-obama,Barack Obama,false
4a2f9fb9cb6ed1f5d1400351,invocation_edge_004f1f7d1faa97c6f796dac3b5b68e9467fbe8c40458cb849b204d6f2f39d19e,john-f-kennedy,John F. Kennedy,john-quincy-adams,John Quincy Adams,/the-presidency/presidential-speeches/may-3-1961-remarks-george-washington,1,1961-05-03,cold-war,Mature Cold War,"May 3, 1961: Remarks at George Washington",https://millercenter.org/the-presidency/presidential-speeches/may-3-1961-remarks-george-washington,John Quincy Adams,other/unclear,neutral,John Adams and John Quincy Adams from my own State of Massachusetts had an intimate relationship with Harvard University.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,John F. Kennedy,john-f-kennedy,John F. Kennedy,false
4cf9358c3a3b8d07d77d8c8f,invocation_edge_004f1f7d1faa97c6f796dac3b5b68e9467fbe8c40458cb849b204d6f2f39d19e,john-f-kennedy,John F. Kennedy,john-quincy-adams,John Quincy Adams,/the-presidency/presidential-speeches/october-12-1961-address-university-north-carolina,4,1961-10-12,cold-war,Mature Cold War,"October 12, 1961: Address at the University of North Carolina",https://millercenter.org/the-presidency/presidential-speeches/october-12-1961-address-university-north-carolina,John Quincy Adams,other/unclear,positive,""" John Quincy Adams, after being summarily dismissed by the Massachusetts Legislature from the United States Senate for supporting Thomas Jefferson, could then become Boylston Professor of Rhetoric and Oratory at Harvard University, and then become a great Secretary of State.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,John F. Kennedy,john-f-kennedy,John F. Kennedy,false
0760e7dc82feff33168f3b29,invocation_edge_01ee6df8202d793328da0f92396fa537f1ff94177f78c584ff463303ddfbf19a,william-taft,William Taft,george-washington,George Washington,/the-presidency/presidential-speeches/december-6-1910-second-annual-message,186,1910-12-06,gilded-age,Administrative-industrial order,"December 6, 1910: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1910-second-annual-message,Washington,historical comparison,neutral,"The Commissioners of the District have its affairs well in hand, and, while not extravagant, are constantly looking to those municipal improvements that are expensive but that must be made in a modern growing city like Washington.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,William Taft,william-taft,William Taft,false
c642f86dd32b61721e320693,invocation_edge_028e6a0bb13ae9d73ba3eb5d3349acc31fc3fee11a757756bfdea586bc3c950b,benjamin-harrison,Benjamin Harrison,george-washington,George Washington,/the-presidency/presidential-speeches/march-4-1889-inaugural-address,1,1889-03-04,gilded-age,Administrative-industrial order,"March 4, 1889: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1889-inaugural-address,President Washington,institutional precedent,neutral,"The first inauguration of President Washington took place in New York,where Congress was then sitting, on the 30th day of April, 1789, havingbeen deferred by reason of delays attending the organization of the Congressand the canvass of the electoral vote.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Benjamin Harrison,benjamin-harrison,Benjamin Harrison,false
3d6e405bbc019b77f0639ea0,invocation_edge_028e6a0bb13ae9d73ba3eb5d3349acc31fc3fee11a757756bfdea586bc3c950b,benjamin-harrison,Benjamin Harrison,george-washington,George Washington,/the-presidency/presidential-speeches/april-4-1889-commemoration-centennial-washingtons-inauguration,0,1889-04-04,gilded-age,Administrative-industrial order,"April 4, 1889: Commemoration of the Centennial of Washington’s Inauguration",https://millercenter.org/the-presidency/presidential-speeches/april-4-1889-commemoration-centennial-washingtons-inauguration,George Washington,ceremonial/biographical,neutral,"At noon on the 30th day of April, 1789, in the city of New York, and in the presence of an assemblage of the heroic men whose patriotic devotion had led the colonies to victory and independence, George Washington took the oath of office as Chief Magistrate of the new-born Republic.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Benjamin Harrison,benjamin-harrison,Benjamin Harrison,false
6102625752a9eb338fb67b76,invocation_edge_03628bb7ef4b69903a437241b0c915b08b6a016793d0dfcc993d1b5d3dce1934,joe-biden,Joe Biden,ronald-reagan,Ronald Reagan,/the-presidency/presidential-speeches/march-7-2024-state-union-address,3,2024-03-08,present,Platform-era intensification,"March 7, 2024: State of Union Address",https://millercenter.org/the-presidency/presidential-speeches/march-7-2024-state-union-address,Ronald Reagan,other/unclear,neutral,"It wasn't long ago when a Republican president named Ronald Reagan thundered, ""Mr.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Joe Biden,joe-biden,Joe Biden,false
f2eb45665b429ecba122dd20,invocation_edge_054699c0bb9a6a4ab73d279d953537a190307f331f114d721a2cb985db543e69,william-mckinley,William McKinley,benjamin-harrison,Benjamin Harrison,/the-presidency/presidential-speeches/december-5-1899-third-annual-message,62,1899-12-05,gilded-age,Administrative-industrial order,"December 5, 1899: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-5-1899-third-annual-message,President Harrison,other/unclear,neutral,"In his annual message of December 9, 1891, my predecessor, President Harrison, said:",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,William McKinley,william-mckinley,William McKinley,false
f261d92fb32d27520a2d2eeb,invocation_edge_054699c0bb9a6a4ab73d279d953537a190307f331f114d721a2cb985db543e69,william-mckinley,William McKinley,benjamin-harrison,Benjamin Harrison,/the-presidency/presidential-speeches/december-3-1900-fourth-annual-message,72,1900-12-03,gilded-age,Administrative-industrial order,"December 3, 1900: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1900-fourth-annual-message,Benjamin Harrison,other/unclear,neutral,"Benjamin Harrison, of Indiana, ex-President of the United States; Hon.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,William McKinley,william-mckinley,William McKinley,false
4cefc3efcc96a435846d01d7,invocation_edge_068ee80c2522495ad3e382e27c84ad79cc65b704c737b1e104782a2dbb667ace,george-w-bush,George W. Bush,harry-s-truman,Harry S. Truman,/the-presidency/presidential-speeches/june-6-2002-address-nation-department-homeland-security,15,2002-06-07,post-cold-war,Conservative turn & always-on presidency,"June 6, 2002: Address to the Nation on the Department of Homeland Security",https://millercenter.org/the-presidency/presidential-speeches/june-6-2002-address-nation-department-homeland-security,Truman,other/unclear,neutral,"Truman's reforms are still helping us to fight terror abroad, and now we need similar dramatic reforms to secure our people at home.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
