field,metric,era_key,era_label,era_order,value,ci_low,ci_high,n_units,support_unit,n_paragraphs,n_speeches,prevalence_primary,prevalence_second,interval_status
party_attack,cohen_kappa,overall,Overall paired sample,-1,0.7159493500826848,0.622998154240577,0.772294228411875,8570,paired_paragraphs,8570.0,262,0.05752625437572929,0.03943990665110852,speech_cluster_bootstrap
enemy_naming,cohen_kappa,overall,Overall paired sample,-1,0.778938235653974,0.74500537695191,0.8105385340765284,8570,paired_paragraphs,8570.0,262,0.21516919486581096,0.170828471411902,speech_cluster_bootstrap
zero_sum,cohen_kappa,overall,Overall paired sample,-1,0.48916430875165745,0.4077752390592848,0.5567058814378073,8570,paired_paragraphs,8570.0,262,0.0807467911318553,0.03500583430571762,speech_cluster_bootstrap
proposal_values,exact_match,overall,Overall paired sample,-1,0.7203033838973162,0.6991998089851711,0.7409694789587511,8570,paired_paragraphs,8570.0,262,,,speech_cluster_bootstrap
topics,jaccard_normalized,overall,Overall paired sample,-1,0.7044512974384619,0.6879348883864481,0.7209434693711961,8570,paired_paragraphs,8570.0,262,,,speech_cluster_bootstrap
entities,name_match_rate,overall,Overall paired sample,-1,0.47644761029411764,0.452357190655232,0.49913708220415537,8704,normalized_entity_union,8570.0,262,,,speech_cluster_bootstrap
entities,stance_agreement,overall,Overall paired sample,-1,0.8808777429467085,0.8651830017681942,0.8958383733531193,4147,matched_entities,8570.0,262,,,speech_cluster_bootstrap
party_attack,cohen_kappa,founding,Establishing the republic,0,,,,177,paired_paragraphs,177.0,14,0.0,0.0,unavailable_degenerate_point
enemy_naming,cohen_kappa,founding,Establishing the republic,0,0.7529658060013955,0.5630886073902814,0.884831257480305,177,paired_paragraphs,177.0,14,0.11299435028248588,0.0903954802259887,speech_cluster_bootstrap
zero_sum,cohen_kappa,founding,Establishing the republic,0,0.24251069900142647,0.0,0.7209887691178953,177,paired_paragraphs,177.0,14,0.03954802259887006,0.005649717514124294,speech_cluster_bootstrap
proposal_values,exact_match,founding,Establishing the republic,0,0.6497175141242938,0.4941711389385808,0.7708333333333334,177,paired_paragraphs,177.0,14,,,speech_cluster_bootstrap
topics,jaccard_normalized,founding,Establishing the republic,0,0.7462335216572505,0.6555164396763431,0.8231880543237249,177,paired_paragraphs,177.0,14,,,speech_cluster_bootstrap
entities,name_match_rate,founding,Establishing the republic,0,0.4866666666666667,0.4201668241261001,0.5714285714285714,150,normalized_entity_union,177.0,14,,,speech_cluster_bootstrap
entities,stance_agreement,founding,Establishing the republic,0,0.9315068493150684,0.8510558907589711,0.9868463773069036,73,matched_entities,177.0,14,,,speech_cluster_bootstrap
party_attack,cohen_kappa,expansion,The continental republic,1,0.0,0.0,0.0,1043,paired_paragraphs,1043.0,27,0.015340364333652923,0.0,speech_cluster_bootstrap
enemy_naming,cohen_kappa,expansion,The continental republic,1,0.703071838242442,0.5997481587386101,0.7735427651941603,1043,paired_paragraphs,1043.0,27,0.18983700862895495,0.12080536912751678,speech_cluster_bootstrap
zero_sum,cohen_kappa,expansion,The continental republic,1,0.2769041691614412,0.13413274060641797,0.4243767693445531,1043,paired_paragraphs,1043.0,27,0.04793863854266539,0.011505273250239693,speech_cluster_bootstrap
proposal_values,exact_match,expansion,The continental republic,1,0.7392138063279002,0.6611424111607034,0.7923083067092651,1043,paired_paragraphs,1043.0,27,,,speech_cluster_bootstrap
topics,jaccard_normalized,expansion,The continental republic,1,0.7649408756791307,0.7153000999255485,0.8140261637614371,1043,paired_paragraphs,1043.0,27,,,speech_cluster_bootstrap
entities,name_match_rate,expansion,The continental republic,1,0.5026178010471204,0.41439762130551605,0.5850118429316055,764,normalized_entity_union,1043.0,27,,,speech_cluster_bootstrap
entities,stance_agreement,expansion,The continental republic,1,0.8567708333333334,0.8101240773521259,0.9044138301387971,384,matched_entities,1043.0,27,,,speech_cluster_bootstrap
party_attack,cohen_kappa,civil-war-reconstruction,Sectional crisis & constitutional rupture,2,0.5564608276615834,0.0,0.8371886129115892,744,paired_paragraphs,744.0,21,0.04973118279569892,0.025537634408602152,speech_cluster_bootstrap
enemy_naming,cohen_kappa,civil-war-reconstruction,Sectional crisis & constitutional rupture,2,0.7150417827298049,0.5882082672030472,0.8035762074069577,744,paired_paragraphs,744.0,21,0.22580645161290322,0.15591397849462366,speech_cluster_bootstrap
zero_sum,cohen_kappa,civil-war-reconstruction,Sectional crisis & constitutional rupture,2,0.5282978993194984,0.21704196271840082,0.7269425206350978,744,paired_paragraphs,744.0,21,0.06317204301075269,0.025537634408602152,speech_cluster_bootstrap
proposal_values,exact_match,civil-war-reconstruction,Sectional crisis & constitutional rupture,2,0.8024193548387096,0.7322312364031908,0.8673130341880342,744,paired_paragraphs,744.0,21,,,speech_cluster_bootstrap
