canonical_president,alias
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Lincoln
Abraham Lincoln,Mr. Lincoln
Abraham Lincoln,President Lincoln
Andrew Jackson,Andrew Jackson
Andrew Jackson,Jackson
Andrew Jackson,Mr. Jackson
Andrew Jackson,President Jackson
Andrew Johnson,Andrew Johnson
Andrew Johnson,Johnson
Andrew Johnson,Mr. Johnson
Andrew Johnson,President Johnson
Barack Obama,Barack Obama
Barack Obama,Mr. Obama
Barack Obama,Obama
Barack Obama,President Obama
Benjamin Harrison,Benjamin Harrison
Benjamin Harrison,Harrison
Benjamin Harrison,Mr. Harrison
Benjamin Harrison,President Harrison
Bill Clinton,Bill Clinton
Bill Clinton,Clinton
Bill Clinton,Mr. Clinton
Bill Clinton,President Clinton
Bill Clinton,William Clinton
Bill Clinton,William Jefferson Clinton
Calvin Coolidge,Calvin Coolidge
Calvin Coolidge,Coolidge
Calvin Coolidge,Mr. Coolidge
Calvin Coolidge,President Coolidge
Chester A. Arthur,Arthur
Chester A. Arthur,Chester A. Arthur
Chester A. Arthur,Mr. Arthur
Chester A. Arthur,President Arthur
Donald Trump,Donald Trump
Donald Trump,Mr. Trump
Donald Trump,President Trump
Donald Trump,Trump
Dwight D. Eisenhower,Dwight D. Eisenhower
Dwight D. Eisenhower,Eisenhower
Dwight D. Eisenhower,Mr. Eisenhower
Dwight D. Eisenhower,President Eisenhower
Franklin D. Roosevelt,FDR
Franklin D. Roosevelt,Franklin D. Roosevelt
Franklin D. Roosevelt,Franklin Roosevelt
Franklin D. Roosevelt,Mr. Roosevelt
Franklin D. Roosevelt,President Roosevelt
Franklin D. Roosevelt,Roosevelt
Franklin Pierce,Franklin Pierce
Franklin Pierce,Mr. Pierce
Franklin Pierce,Pierce
Franklin Pierce,President Pierce
George H. W. Bush,Bush
George H. W. Bush,George Bush
George H. W. Bush,George H. W. Bush
George H. W. Bush,George H.W. Bush
George H. W. Bush,Mr. Bush
George H. W. Bush,President Bush
George W. Bush,Bush
George W. Bush,Bush 43
George W. Bush,George W Bush
George W. Bush,George W. Bush
George W. Bush,Mr. Bush
George W. Bush,President Bush
George Washington,George Washington
George Washington,Mr. Washington
George Washington,President Washington
George Washington,Washington
Gerald Ford,Ford
Gerald Ford,Gerald Ford
Gerald Ford,Mr. Ford
Gerald Ford,President Ford
Grover Cleveland,Cleveland
Grover Cleveland,Grover Cleveland
Grover Cleveland,Mr. Cleveland
Grover Cleveland,President Cleveland
Harry S. Truman,Harry S. Truman
Harry S. Truman,Mr. Truman
Harry S. Truman,President Truman
Harry S. Truman,Truman
Herbert Hoover,Herbert Hoover
Herbert Hoover,Hoover
Herbert Hoover,Mr. Hoover
Herbert Hoover,President Hoover
James A. Garfield,Garfield
James A. Garfield,James A. Garfield
James A. Garfield,Mr. Garfield
James A. Garfield,President Garfield
James Buchanan,Buchanan
James Buchanan,James Buchanan
James Buchanan,Mr. Buchanan
James Buchanan,President Buchanan
James K. Polk,James K. Polk
James K. Polk,Mr. Polk
James K. Polk,Polk
James K. Polk,President Polk
James Madison,James Madison
James Madison,Madison
James Madison,Mr. Madison
James Madison,President Madison
James Monroe,James Monroe
James Monroe,Monroe
James Monroe,Mr. Monroe
James Monroe,President Monroe
Jimmy Carter,Carter
Jimmy Carter,Jimmy Carter
Jimmy Carter,Mr. Carter
Jimmy Carter,President Carter
Joe Biden,Biden
Joe Biden,Joe Biden
Joe Biden,Joseph Biden
Joe Biden,Mr. Biden
Joe Biden,President Biden
John Adams,Adams
John Adams,John Adams
John Adams,Mr. Adams
John Adams,President Adams
John F. Kennedy,JFK
John F. Kennedy,John F. Kennedy
John F. Kennedy,John Kennedy
John F. Kennedy,Kennedy
John F. Kennedy,Mr. Kennedy
John F. Kennedy,President Kennedy
John Quincy Adams,Adams
John Quincy Adams,John Quincy Adams
John Quincy Adams,Mr. Adams
