president,n_speeches,thin_record
Abraham Lincoln,15,False
Andrew Jackson,26,False
Andrew Johnson,31,False
Barack Obama,51,False
Benjamin Harrison,16,False
Bill Clinton,39,False
Calvin Coolidge,12,False
Chester A. Arthur,11,False
Donald Trump,53,False
Dwight D. Eisenhower,15,False
Franklin D. Roosevelt,49,False
Franklin Pierce,15,False
George H. W. Bush,23,False
George W. Bush,38,False
George Washington,21,False
Gerald Ford,14,False
Grover Cleveland,32,False
Harry S. Truman,19,False
Herbert Hoover,30,False
James A. Garfield,1,True
James Buchanan,14,False
James K. Polk,25,False
James Madison,21,False
James Monroe,10,False
Jimmy Carter,22,False
Joe Biden,28,False
John Adams,9,False
John F. Kennedy,44,False
John Quincy Adams,8,False
John Tyler,18,False
Lyndon B. Johnson,71,False
Martin Van Buren,10,False
Millard Fillmore,7,False
Richard M. Nixon,23,False
Ronald Reagan,60,False
Rutherford B. Hayes,16,False
Theodore Roosevelt,22,False
Thomas Jefferson,24,False
Ulysses S. Grant,32,False
Warren G. Harding,18,False
William Harrison,1,True
William McKinley,14,False
William Taft,12,False
Woodrow Wilson,33,False
Zachary Taylor,4,True
