doc_name,president,year,era,title,expected_paragraphs,completed_paragraphs,missing_paragraphs,completion_rate
/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,William McKinley,1898,The Gilded Age,"April 11, 1898: Message Regarding Cuban Civil War",41,41,0,1.0
/the-presidency/presidential-speeches/april-11-1951-report-american-people-korea,Harry S. Truman,1951,The Cold War,"April 11, 1951: Report to the American People on Korea",20,13,7,0.65
/the-presidency/presidential-speeches/april-13-1846-message-regarding-cherokee-indians,James K. Polk,1846,Expansion,"April 13, 1846: Message Regarding Cherokee Indians",7,7,0,1.0
/the-presidency/presidential-speeches/april-16-1945-first-speech-congress,Harry S. Truman,1945,War & New Deal,"April 16, 1945: First Speech to Congress",15,15,0,1.0
/the-presidency/presidential-speeches/april-16-1953-chance-peace,Dwight D. Eisenhower,1953,The Cold War,"April 16, 1953: Chance for Peace",23,23,0,1.0
/the-presidency/presidential-speeches/april-18-1882-message-regarding-congress-american-countries,Chester A. Arthur,1882,The Gilded Age,"April 18, 1882: Message Regarding Congress of American Countries",12,12,0,1.0
/the-presidency/presidential-speeches/april-2-1866-proclamation-end-confederate-insurrection,Andrew Johnson,1866,Civil War & Reconstruction,"April 2, 1866: Proclamation on the End of the Confederate Insurrection",12,12,0,1.0
/the-presidency/presidential-speeches/april-20-1964-speech-associated-press-luncheon,Lyndon B. Johnson,1964,The Cold War,"April 20, 1964: Speech to the Associated Press Luncheon",96,7,89,0.07291666666666667
/the-presidency/presidential-speeches/april-22-1886-message-regarding-us-labor-force,Grover Cleveland,1886,The Gilded Age,"April 22, 1886: Message Regarding U.S. Labor Force",8,8,0,1.0
/the-presidency/presidential-speeches/april-23-1975-remarks-tulane-university,Gerald Ford,1975,The Cold War,"April 23, 1975: Remarks at Tulane University",18,1,17,0.05555555555555555
/the-presidency/presidential-speeches/april-25-1980-statement-iran-rescue-mission,Jimmy Carter,1980,The Cold War,"April 25, 1980: Statement on the Iran Rescue Mission",7,7,0,1.0
/the-presidency/presidential-speeches/april-28-1935-fireside-chat-7-works-relief-program-and-social,Franklin D. Roosevelt,1935,War & New Deal,"April 28, 1935: Fireside Chat 7: On the Works Relief Program and Social Security Act",24,24,0,1.0
/the-presidency/presidential-speeches/april-28-1942-fireside-chat-21-sacrifice,Franklin D. Roosevelt,1942,War & New Deal,"April 28, 1942: Fireside Chat 21: On Sacrifice",29,29,0,1.0
/the-presidency/presidential-speeches/april-3-1809-message-inhabitants-albemarle-county,Thomas Jefferson,1809,The founding,"April 3, 1809: Message to the Inhabitants of Albemarle County",3,3,0,1.0
/the-presidency/presidential-speeches/april-3-1848-message-regarding-establishment-french-republic,James K. Polk,1848,Expansion,"April 3, 1848: Message Regarding Establishment Of The French Republic",4,4,0,1.0
/the-presidency/presidential-speeches/april-3-1968-press-conference,Lyndon B. Johnson,1968,The Cold War,"April 3, 1968: Press Conference",5,5,0,1.0
/the-presidency/presidential-speeches/april-30-1984-remarks-fudan-university-classroom,Ronald Reagan,1984,The Cold War,"April 30, 1984: Remarks in a Fudan University Classroom ",28,28,0,1.0
/the-presidency/presidential-speeches/april-8-2013-speech-gun-violence,Barack Obama,2013,Post-Cold War,"April 8, 2013: Speech on Gun Violence",33,0,33,0.0
/the-presidency/presidential-speeches/april-9-2007-speech-comprehensive-immigration-reform,George W. Bush,2007,Post-Cold War,"April 9, 2007: Speech on Comprehensive Immigration Reform",35,35,0,1.0
/the-presidency/presidential-speeches/august-1-1848-message-regarding-size-army,James K. Polk,1848,Expansion,"August 1, 1848: Message Regarding Size of the Army",4,4,0,1.0
/the-presidency/presidential-speeches/august-10-2001-address-nation-stem-cell-research,George W. Bush,2001,Post-Cold War,"August 10, 2001: Address to the Nation on Stem Cell Research",18,18,0,1.0
/the-presidency/presidential-speeches/august-11-1842-message-senate-negotiations-britain,John Tyler,1842,Expansion,"August 11, 1842: Message to Senate on Negotiations with Britain",73,73,0,1.0
/the-presidency/presidential-speeches/august-11-1932-speech-accepting-republican-nomination,Herbert Hoover,1932,Progressives & Depression,"August 11, 1932: Speech Accepting the Republican Nomination",55,55,0,1.0
/the-presidency/presidential-speeches/august-15-1973-address-nation-about-watergate-investigations,Richard M. Nixon,1973,The Cold War,"August 15, 1973: Address to the Nation About the Watergate Investigations",28,23,5,0.8214285714285714
/the-presidency/presidential-speeches/august-16-1841-veto-message-regarding-bank-united-states,John Tyler,1841,Expansion,"August 16, 1841: Veto Message Regarding the Bank of the United States",19,19,0,1.0
/the-presidency/presidential-speeches/august-18-1967-press-conference,Lyndon B. Johnson,1967,The Cold War,"August 18, 1967: Press Conference",50,50,0,1.0
/the-presidency/presidential-speeches/august-19-1976-remarks-republican-national-convention,Ronald Reagan,1976,The Cold War,"August 19, 1976: Remarks at the Republican National Convention",7,7,0,1.0
/the-presidency/presidential-speeches/august-28-1920-america,Warren G. Harding,1920,Progressives & Depression,"August 28, 1920: America",3,3,0,1.0
/the-presidency/presidential-speeches/august-29-1796-talk-cherokee-nation,George Washington,1796,The founding,"August 29, 1796: Talk to the Cherokee Nation",12,12,0,1.0
/the-presidency/presidential-speeches/august-29-1996-remarks-democratic-national-convention,Bill Clinton,1996,Post-Cold War,"August 29, 1996: Remarks at the Democratic National Convention",52,52,0,1.0
/the-presidency/presidential-speeches/august-6-1850-message-regarding-compromise-texas,Millard Fillmore,1850,Civil War & Reconstruction,"August 6, 1850: Message Regarding Compromise with Texas",21,21,0,1.0
/the-presidency/presidential-speeches/august-7-1846-message-regarding-treaty-cherokees,James K. Polk,1846,Expansion,"August 7, 1846: Message Regarding Treaty with Cherokees",5,5,0,1.0
/the-presidency/presidential-speeches/august-8-1893-message-regarding-economic-crisis,Grover Cleveland,1893,The Gilded Age,"August 8, 1893: Message Regarding Economic Crisis",19,19,0,1.0
/the-presidency/presidential-speeches/august-8-1990-address-iraqs-invasion-kuwait,George H. W. Bush,1990,Post-Cold War,"August 8, 1990: Address on Iraq's Invasion of Kuwait",14,14,0,1.0
/the-presidency/presidential-speeches/december-1-1834-sixth-annual-message-congress,Andrew Jackson,1834,Expansion,"December 1, 1834: Sixth Annual Message to Congress",107,106,1,0.9906542056074766
/the-presidency/presidential-speeches/december-1-1879-third-annual-message,Rutherford B. Hayes,1879,The Gilded Age,"December 1, 1879: Third Annual Message",98,98,0,1.0
/the-presidency/presidential-speeches/december-10-1832-nullification-proclamation,Andrew Jackson,1832,Expansion,"December 10, 1832: Nullification Proclamation",60,60,0,1.0
/the-presidency/presidential-speeches/december-11-1931-statement-regarding-economic-recovery,Herbert Hoover,1931,Progressives & Depression,"December 11, 1931: Statement Regarding Economic Recovery",7,7,0,1.0
/the-presidency/presidential-speeches/december-13-1850-announcement-texas-acceptance-compromise,Millard Fillmore,1850,Civil War & Reconstruction,"December 13, 1850: Announcement of Texas’ Acceptance of Compromise Propositions",5,5,0,1.0
/the-presidency/presidential-speeches/december-17-1895-message-regarding-venezuelan-british-dispute,Grover Cleveland,1895,The Gilded Age,"December 17, 1895: Message Regarding Venezuelan-British Dispute",10,10,0,1.0
/the-presidency/presidential-speeches/december-19-1799-death-george-washington,John Adams,1799,The founding,"December 19, 1799: Death of George Washington",12,12,0,1.0
/the-presidency/presidential-speeches/december-19-2005-address-renewal-iraq,George W. Bush,2005,Post-Cold War,"December 19, 2005: Address on Renewal in Iraq",23,23,0,1.0
/the-presidency/presidential-speeches/december-19-2008-remarks-plan-assist-automakers,George W. Bush,2008,Post-Cold War,"December 19, 2008: Remarks on Plan to Assist Automakers",11,3,8,0.2727272727272727
/the-presidency/presidential-speeches/december-2-1823-seventh-annual-message-monroe-doctrine,James Monroe,1823,Expansion,"December 2, 1823: Seventh Annual Message (Monroe Doctrine)",55,0,55,0.0
/the-presidency/presidential-speeches/december-2-1845-first-annual-message,James K. Polk,1845,Expansion,"December 2, 1845: First Annual Message",109,109,0,1.0
/the-presidency/presidential-speeches/december-2-1895-third-annual-message-second-term,Grover Cleveland,1895,The Gilded Age,"December 2, 1895: Third Annual Message (Second Term)",122,122,0,1.0
/the-presidency/presidential-speeches/december-2-1930-second-state-union-address,Herbert Hoover,1930,Progressives & Depression,"December 2, 1930: Second State of the Union address.",32,32,0,1.0
/the-presidency/presidential-speeches/december-29-1846-request-increase-size-army,James K. Polk,1846,Expansion,"December 29, 1846: Request to Increase the Size of the Army",4,4,0,1.0
/the-presidency/presidential-speeches/december-3-1793-fifth-annual-message-congress,George Washington,1793,The founding,"December 3, 1793: Fifth Annual Message to Congress",13,13,0,1.0
/the-presidency/presidential-speeches/december-3-1805-fifth-annual-message,Thomas Jefferson,1805,The founding,"December 3, 1805: Fifth Annual Message",22,22,0,1.0
/the-presidency/presidential-speeches/december-3-1816-eighth-annual-message,James Madison,1816,Expansion,"December 3, 1816: Eighth Annual Message",23,23,0,1.0
/the-presidency/presidential-speeches/december-3-1822-sixth-annual-message,James Monroe,1822,Expansion,"December 3, 1822: Sixth Annual Message",40,40,0,1.0
/the-presidency/presidential-speeches/december-3-1833-fifth-annual-message-congress,Andrew Jackson,1833,Expansion,"December 3, 1833: Fifth Annual Message to Congress",62,61,1,0.9838709677419355
/the-presidency/presidential-speeches/december-3-1889-first-annual-message,Benjamin Harrison,1889,The Gilded Age,"December 3, 1889: First Annual Message",109,109,0,1.0
/the-presidency/presidential-speeches/december-3-1901-first-annual-message,Theodore Roosevelt,1901,Progressives & Depression,"December 3, 1901: First Annual Message",143,143,0,1.0
/the-presidency/presidential-speeches/december-30-1806-address-wolf-and-people-mandan-nation,Thomas Jefferson,1806,The founding,"December 30, 1806: Address to the Wolf and the People of the Mandan Nation",11,11,0,1.0
/the-presidency/presidential-speeches/december-30-1854-expansion-august-4-veto-message,Franklin Pierce,1854,Civil War & Reconstruction,"December 30, 1854: Expansion of August 4 Veto Message",45,45,0,1.0
/the-presidency/presidential-speeches/december-31-1855-third-annual-message,Franklin Pierce,1855,Civil War & Reconstruction,"December 31, 1855: Third Annual Message",97,97,0,1.0
/the-presidency/presidential-speeches/december-4-1917-fifth-annual-message,Woodrow Wilson,1917,Progressives & Depression,"December 4, 1917: Fifth Annual Message",31,31,0,1.0
/the-presidency/presidential-speeches/december-5-1837-first-annual-message-congress,Martin Van Buren,1837,Expansion,"December 5, 1837: First Annual Message to Congress",82,82,0,1.0
/the-presidency/presidential-speeches/december-5-1870-second-annual-message,Ulysses S. Grant,1870,Civil War & Reconstruction,"December 5, 1870: Second Annual Message",71,71,0,1.0
/the-presidency/presidential-speeches/december-5-1898-second-annual-message,William McKinley,1898,The Gilded Age,"December 5, 1898: Second Annual Message",162,162,0,1.0
/the-presidency/presidential-speeches/december-5-1911-third-annual-message,William Taft,1911,Progressives & Depression,"December 5, 1911: Third Annual Message",198,196,2,0.98989898989899
/the-presidency/presidential-speeches/december-6-1830-second-annual-message-congress,Andrew Jackson,1830,Expansion,"December 6, 1830: Second Annual Message to Congress",119,119,0,1.0
/the-presidency/presidential-speeches/december-6-1831-third-annual-message-congress,Andrew Jackson,1831,Expansion,"December 6, 1831: Third Annual Message to Congress",54,54,0,1.0
/the-presidency/presidential-speeches/december-6-1858-second-annual-message,James Buchanan,1858,Civil War & Reconstruction,"December 6, 1858: Second Annual Message",129,127,2,0.9844961240310077
/the-presidency/presidential-speeches/december-6-1864-fourth-annual-message,Abraham Lincoln,1864,Civil War & Reconstruction,"December 6, 1864: Fourth Annual Message",55,55,0,1.0
