era_key,era_label,era_order,n,n_speeches,primary_positive_rate,second_positive_rate,kappa
overall,Overall paired sample,-1,8570,262,0.0807467911318553,0.03500583430571762,0.48916430875165745
founding,Establishing the republic,0,177,14,0.03954802259887006,0.005649717514124294,0.24251069900142647
expansion,The continental republic,1,1043,27,0.04793863854266539,0.011505273250239693,0.2769041691614412
civil-war-reconstruction,Sectional crisis & constitutional rupture,2,744,21,0.06317204301075269,0.025537634408602152,0.5282978993194984
gilded-age,Administrative-industrial order,3,1677,41,0.03697078115682767,0.011329755515802028,0.3843842943939579
progressives-depression,"Reform, world war & collapse",4,591,25,0.03722504230118443,0.00676818950930626,0.2996708360763665
war-new-deal,"New Deal, world war & settlement",5,333,17,0.2672672672672673,0.15615615615615616,0.584821073294957
cold-war,Mature Cold War,6,1349,45,0.07412898443291327,0.031134173461823574,0.4402428504351429
post-cold-war,Conservative turn & always-on presidency,7,1592,49,0.05841708542713568,0.019472361809045227,0.31881320378622696
present,Platform-era intensification,8,1064,23,0.20864661654135339,0.11278195488721804,0.5546798537062795
