schema_version,contract_version,receipt_id,edge_id,scope_type,scope_id,scope_label,president_profile_id,president_name,topic_id,topic_level,topic_label,doc_name,para_idx,appearance_id,actual_speaker_profile_id,actual_speaker,source_document_owner_profile_id,source_document_owner,cross_owner,story_era_id,story_era_label,speech_date,speech_title,source_url,evidence_excerpt,selection_role,selection_position,evidence_policy
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_593575551567695ff12aa05ad35e663124e746aaf78df071d5255b44c83a69a3,edge_61a28eb02f536f08af159d11554e6bdb7ca24cf952acb9df8b7112d381f3fad4,corpus,all-corpus,All eligible corpus,abraham-lincoln,Abraham Lincoln,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/july-6-1852-eulogy-henry-clay,11,appearance_19ca145a0e696b946aad69ee43b01cd7e42a146917519f8297b2e6f965245c33,abraham-lincoln,Abraham Lincoln,abraham-lincoln,Abraham Lincoln,False,civil-war-reconstruction,Sectional crisis & constitutional rupture,1852-07-06,"July 6, 1852: Eulogy on Henry Clay",https://millercenter.org/the-presidency/presidential-speeches/july-6-1852-eulogy-henry-clay,"In 1813 he was again elected Speaker. Early in 1814, being the period of our last British war, Mr. Clay was sent as commissioner, with others, to negotiate a treaty of peace, which treaty was concluded in the latter part of the same year. On his return from Europe he was again elected to the lower branch of Congress, and on taking his seat in December 1815…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_a839f8b6dfdf804dd31764fe4498b4bf4ad8738030069c29640d1119cbd74fce,edge_61a28eb02f536f08af159d11554e6bdb7ca24cf952acb9df8b7112d381f3fad4,corpus,all-corpus,All eligible corpus,abraham-lincoln,Abraham Lincoln,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-1-1862-second-annual-message,21,appearance_0d825cbdf6bc75c3affa490d66bd7acc6a727a9ce391452c31234bf42e6cb72d,abraham-lincoln,Abraham Lincoln,abraham-lincoln,Abraham Lincoln,False,civil-war-reconstruction,Sectional crisis & constitutional rupture,1862-12-01,"December 1, 1862: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-1-1862-second-annual-message,"The reports of the Secretaries of War and of the Navy are herewith transmitted. These reports, though lengthy, are scarcely more than brief abstracts of the very numerous and extensive transactions and operations conducted through those Departments. Nor could I give a summary of them here upon any principle which would admit of its being much shorter than t…",middle,4,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_7f3f48bd833eb8c2a60e098395ab9b1807ecba669cdb5f11094c8bfc961049f6,edge_61a28eb02f536f08af159d11554e6bdb7ca24cf952acb9df8b7112d381f3fad4,corpus,all-corpus,All eligible corpus,abraham-lincoln,Abraham Lincoln,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/march-4-1865-second-inaugural-address,5,appearance_fa034e777a4a3fae880e7ffe83f7972c8361c2c84e9665705f31663188638a40,abraham-lincoln,Abraham Lincoln,abraham-lincoln,Abraham Lincoln,False,civil-war-reconstruction,Sectional crisis & constitutional rupture,1865-03-04,"March 4, 1865: Second Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1865-second-inaugural-address,"With malice toward none, with charity for all, with firmness in the fight as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation's wounds, to care for him who shall have borne the battle and for his widow and his orphan, to do all which may achieve and cherish a just and lasting peace among ourselves and with…",last,9,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_a0d4ebdf9c7b50f113b228958c341d774b5ca7dff385f2095c36294a7509c5fa,edge_cf34ea081b38c635007d3f8a96a190288a831663f9c4118cc19646860ac09fe9,corpus,all-corpus,All eligible corpus,andrew-jackson,Andrew Jackson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/march-4-1829-first-inaugural-address,5,appearance_767128e0edb6f35f68fc42a75d1c5d971440d13c6b552c8fb9fe5da0c3dba642,andrew-jackson,Andrew Jackson,andrew-jackson,Andrew Jackson,False,expansion,The continental republic,1829-03-04,"March 4, 1829: First Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1829-first-inaugural-address,"Internal improvement and the diffusion of knowledge, so far as they can be promoted by the constitutional acts of the Federal Government, are of high importance. Considering standing armies as dangerous to free governments in time of peace, I shall not seek to enlarge our present establishment, nor disregard that salutary lesson of political experience whic…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_a1b4da8021de09a4e5a17b5ae62cb7eb23b8846584124d213243dac194c4755e,edge_cf34ea081b38c635007d3f8a96a190288a831663f9c4118cc19646860ac09fe9,corpus,all-corpus,All eligible corpus,andrew-jackson,Andrew Jackson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-10-1832-nullification-proclamation,6,appearance_749084bb028685a271d70a925a11a0cc9093b886db6423b55ea4fd3e98597367,andrew-jackson,Andrew Jackson,andrew-jackson,Andrew Jackson,False,expansion,The continental republic,1832-12-10,"December 10, 1832: Nullification Proclamation",https://millercenter.org/the-presidency/presidential-speeches/december-10-1832-nullification-proclamation,"The war into which we were forced to support the dignity of the nation and the rights of our citizens might have ended in defeat and disgrace, instead of victory and honor, if the States who supposed it a ruinous and unconstitutional measure had thought they possessed the right of nullifying the act by which it was declared and denying supplies for its pros…",middle,5,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_b1e6b2f9c846e09f940c2567b187fbba38a96af20421005feb704d476ae6d098,edge_cf34ea081b38c635007d3f8a96a190288a831663f9c4118cc19646860ac09fe9,corpus,all-corpus,All eligible corpus,andrew-jackson,Andrew Jackson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/march-4-1837-farewell-address,53,appearance_d4951a838623868496fd2086b023f1dd8a2d95c5a14de97013fedbf89f6d84ae,andrew-jackson,Andrew Jackson,andrew-jackson,Andrew Jackson,False,expansion,The continental republic,1837-03-04,"March 4, 1837: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1837-farewell-address,"Our local situation, our long line of seacoast, indented by numerous bays, with deep rivers opening into the interior, as well as our extended and still increasing commerce, point to the Navy as our natural means of defense. It will in the end be found to be the cheapest and most effectual, and now is the time, in a season of peace and with an overflowing r…",last,11,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_ac931b43ad542fec45cb83ec272daec0f31490fa698754350c26cc828dbf70ba,edge_eacb9652be78bde599bb9026630b8c7b64e54e60897d0857dbdce249b3d93505,corpus,all-corpus,All eligible corpus,andrew-johnson,Andrew Johnson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,december-4-1865-first-annual-message,38,appearance_737acd0dc2932f38726c8be76716dfb9dc3ed9b56a6dbf1520b445e17b5674dc,andrew-johnson,Andrew Johnson,andrew-johnson,Andrew Johnson,False,civil-war-reconstruction,Sectional crisis & constitutional rupture,1865-12-04,"December 4, 1865: First Annual Message",https://millercenter.orgdecember-4-1865-first-annual-message,"The lamentable events of the last four years and the sacrifices made by the gallant men of our Army and Navy have swelled the records of the Pension Bureau to an unprecedented extent. On the 30th day of June last the total number of pensioners was 85,986, requiring for their annual pay, exclusive of expenses, the sum of $8,023,445. The number of application…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_c3cfcbe2aba39041eec4d462b424c8b714c623f7d6304e62bfba4ee00e4d13d9,edge_eacb9652be78bde599bb9026630b8c7b64e54e60897d0857dbdce249b3d93505,corpus,all-corpus,All eligible corpus,andrew-johnson,Andrew Johnson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-3-1866-second-annual-message,22,appearance_c19ea978d6fdfb6ef2b1a621c371c0ea201e490af8839923567a701d8b41da73,andrew-johnson,Andrew Johnson,andrew-johnson,Andrew Johnson,False,civil-war-reconstruction,Sectional crisis & constitutional rupture,1866-12-03,"December 3, 1866: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1866-second-annual-message,"The report of the Secretary of War furnishes valuable and important information in reference to the operations of his Department during the past year. Few volunteers now remain in the service, and they are being discharged as rapidly as they can be replaced by regular troops. The Army has been promptly paid, carefully provided with medical treatment, well s…",middle,2,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_03b51ef55ad55f769410a4529646d3f440f654c03f8f51b96ad5f436478881ec,edge_eacb9652be78bde599bb9026630b8c7b64e54e60897d0857dbdce249b3d93505,corpus,all-corpus,All eligible corpus,andrew-johnson,Andrew Johnson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-8-1868-fourth-annual-message-congress,13,appearance_ba3d4b85685d2546c6ec595ccb76412503ef7952f35d81bee155024261a31891,andrew-johnson,Andrew Johnson,andrew-johnson,Andrew Johnson,False,civil-war-reconstruction,Sectional crisis & constitutional rupture,1868-12-08,"December 8, 1868: Fourth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-8-1868-fourth-annual-message-congress,"In 1814 the annual expenses incident to the War of 1812 reached their highest amount - about thirty-one millions - while our population slightly exceeded 8,000,000, showing an expenditure of only $3.80 per capita. In 1847 the expenditures growing out of the war with Mexico reached fifty-five millions, and the population about 21,000,000, giving only $2.60 p…",last,5,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_8ee88a75dc61d5a4b38e528fff16af0a9c89062ae37bd8cdef4afabdc40e1630,edge_bd6e65877d490b44030f5a0ce81c54000588cf964f786e3016d34f8e99b27e9b,corpus,all-corpus,All eligible corpus,barack-obama,Barack Obama,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/august-28-2008-acceptance-speech-democratic-national,2,appearance_a4eacf8f25579b4d33226a80eba256f1df9304347c760e481d712dd47aa5d266,barack-obama,Barack Obama,barack-obama,Barack Obama,False,post-cold-war,Conservative turn & always-on presidency,2008-08-28,"August 28, 2008: Acceptance Speech at the Democratic National Convention",https://millercenter.org/the-presidency/presidential-speeches/august-28-2008-acceptance-speech-democratic-national,"It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well. That's why I stand here tonight. Because for two hundred and thirty two years, at each moment when th…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
