story_era_key,story_era,era_start_year,era_end_year,rank,normalized_entity,display_entity,display_type,era_paragraphs,era_documents,era_denominator_paragraphs,other_paragraphs,other_denominator_paragraphs,paragraph_share,other_paragraph_share,log_odds,log_odds_standard_error,log_odds_z,ai_ner_paragraphs,ai_only_paragraphs,source_badge,evidence_ai_mention,evidence_ner_mention,evidence_ai_stance,evidence_doc_name,evidence_para_idx,evidence_document_title,evidence_source_url,evidence_speaker,evidence_document_owner,evidence_cross_owner,evidence_excerpt,min_eligible_paragraphs,min_eligible_documents,log_odds_prior_success,log_odds_prior_failure,schema_version
founding,Establishing the republic,1789,1808,1,general wilkinson,General Wilkinson,person,6,2,672,0,31859,0.008928571428571428,0.0,6.432000107523904,1.4681205389040914,4.381111725557086,0,6,AI only,General Wilkinson,,neutral,/the-presidency/presidential-speeches/february-10-1807-special-message-congress-gun-boats,2,"February 10, 1807: Special Message to Congress on the Gun Boats",https://millercenter.org/the-presidency/presidential-speeches/february-10-1807-special-message-congress-gun-boats,Thomas Jefferson,Thomas Jefferson,False,"On this subject professional men were consulted as far as we had opportunity. General Wilkinson, and the late General Gates, gave their opinions in writing, in favor of the system, as will be seen by their letters now communicated. The higher officers of the navy gave the same opinions in separate conferences, as their presence at the seat of government offered occasions of consulting them, and no difference of judgment appeared on the subjects. Those of Commodore Barron and Captain Tingey, now here, are recently furnished in writing, and transmitted herewith to the legislature.",5,2,0.5,0.5,era-distinctive-reference-v1
founding,Establishing the republic,1789,1808,2,aaron burr,Aaron Burr,person,11,2,672,1,31859,0.01636904761904762,3.13883047176622e-05,5.911431445082441,0.8690030454495343,6.802543991113936,3,8,AI + NER,Aaron Burr,Aaron Burr,adversarial,/the-presidency/presidential-speeches/january-22-1807-special-message-congress-burr-conspiracy,3,"January 22, 1807: Special Message to Congress on the Burr Conspiracy",https://millercenter.org/the-presidency/presidential-speeches/january-22-1807-special-message-congress-burr-conspiracy,Thomas Jefferson,Thomas Jefferson,False,"Some time in the latter part of September, I received intimations that designs were in agitation in the western country, unlawful and unfriendly to the peace of the Union; and that the prime mover in these was Aaron Burr, heretofore distinguished by the favor of his country. The grounds of these intimations being inconclusive, the objects uncertain, and the fidelity of that country known to be firm, the only measure taken was to urge the informants to use their best endeavors to get further insight into the designs and proceedings of the suspected persons, and to communicate them to me.",5,2,0.5,0.5,era-distinctive-reference-v1
founding,Establishing the republic,1789,1808,3,cherokee nation,Cherokee Nation,group,6,4,672,2,31859,0.008928571428571428,6.27766094353244e-05,4.822499417495107,0.7452368205628014,6.471096548682557,0,6,AI only,Cherokee nation,,favorable,/the-presidency/presidential-speeches/december-12-1792-proclamation-against-crimes-against-cherokee,0,"December 12, 1792: Proclamation Against Crimes Against the Cherokee Nations",https://millercenter.org/the-presidency/presidential-speeches/december-12-1792-proclamation-against-crimes-against-cherokee,George Washington,George Washington,False,"Whereas I have received authentic information, that certain lawless and wicked persons, of the western frontier in the State of Georgia, did lately invade, burn, and destroy a town belonging to the Cherokee nation, although in amity with the United States, and put to death several Indians of that nation; and whereas such outrageous conduct not only violates the rights of humanity, but also endangers the public peace, and it highly becomes the honor and good faith of the United States to pursue all legal means for the punishment of those atrocious offenders; I have, therefore, thought fit to issue this my proclamation, hereby exhorting all the citizens of the United States, and requiring all the officers thereof, according to their respective stations, to use their utmost endeavours to bring those offenders to justice. And I do moreover offer a reward of five hundred dollars for each and every of the above-named persons, who shall be so apprehended and brought to justice, and shall be proved to have assumed or exercised any command or authority among the perpetrators of the crimes aforesaid, at the time of committing the same.",5,2,0.5,0.5,era-distinctive-reference-v1
founding,Establishing the republic,1789,1808,4,tripoli,Tripoli,nation,5,5,672,2,31859,0.00744047619047619,6.27766094353244e-05,4.653946082176299,0.7637720202662779,6.093370742428832,5,0,AI + NER,Tripoli,Tripoli,adversarial,/the-presidency/presidential-speeches/december-15-1802-second-annual-message,4,"December 15, 1802: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-15-1802-second-annual-message,Thomas Jefferson,Thomas Jefferson,False,"The cession of the Spanish Province of Louisiana to France, which took place in the course of the late war, will if carried into effect, make a change in the aspect of our foreign relations which will doubtless have just weight in any deliberations of the legislature connected with that subject. There was reason not long since to apprehend that the warfare in which we were engaged with Tripoli might be taken up by some other of the Barbary Powers. A reenforcement, therefore, was immediately ordered to the vessels already there. Subsequent information, however has removed these apprehensions for the present. To secure our commerce in that sea with the smallest force competent, we have supposed it best to watch strictly the harbor of Tripoli. Still, however, the shallowness of their coast and the want of smaller vessels on our part has permitted some cruisers to escape unobserved, and to one of these an American vessel unfortunately fell a prey. The captain, one American seaman, and two others of color remain prisoners with them unless exchanged under an agreement formerly made with the Bashaw, to whom, on the faith of that, some of his captive subjects had been restored.",5,2,0.5,0.5,era-distinctive-reference-v1
founding,Establishing the republic,1789,1808,5,french republic,French Republic,nation,5,3,672,2,31859,0.00744047619047619,6.27766094353244e-05,4.653946082176299,0.7637720202662779,6.093370742428832,0,5,AI only,French Republic,,neutral,/the-presidency/presidential-speeches/december-3-1799-third-annual-message,3,"December 3, 1799: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1799-third-annual-message,John Adams,John Adams,False,"Persevering in the pacific and humane policy which had been invariably professed and sincerely pursued by the executive authority of the United States, when indications were made on the part of the French Republic of a disposition to accommodate the existing differences between the two countries, I felt it to be my duty to prepare for meeting their advances by a nomination of ministers upon certain conditions which the honor of our country dictated, and which its moderation had given it a right to prescribe.",5,2,0.5,0.5,era-distinctive-reference-v1
expansion,The continental republic,1809,1849,1,bank of the united states,Bank of the United States,institution,140,17,3847,3,28684,0.0363919937613725,0.0001045879235810905,5.738339040867468,0.5414206429847792,10.598670581219025,7,133,AI + NER,Bank of the United States,Bank of the United States,neutral,/the-presidency/presidential-speeches/april-15-1834-protest-senate-censure,46,"April 15, 1834: Protest of Senate Censure",https://millercenter.org/the-presidency/presidential-speeches/april-15-1834-protest-senate-censure,Andrew Jackson,Andrew Jackson,False,"This practice was continued, with the silent acquiescence of Congress, from 1789 down to 1816, and although many banks were selected and discharged, and although a portion of the moneys were first placed in the State banks, and then in the former Bank of the United States, and upon the dissolution of that were again transferred to the State banks, no legislation was thought necessary by Congress, and all the operations were originated and perfected by Executive authority. The Secretary of the Treasury, responsible to the President, and with his approbation, made contracts and arrangements in relation to the whole subject-matter, which was thus entirely committed to the direction of the President under his responsibilities to the American people and to those who were authorized to impeach and punish him for any breach of this important trust.",5,2,0.5,0.5,era-distinctive-reference-v1
expansion,The continental republic,1809,1849,2,state banks,State banks,institution,14,7,3847,0,28684,0.00363919937613725,0.0,5.379874513158663,1.438492696366039,3.739938705806053,0,14,AI only,State banks,,favorable,/the-presidency/presidential-speeches/december-1-1834-sixth-annual-message-congress,63,"December 1, 1834: Sixth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-1-1834-sixth-annual-message-congress,Andrew Jackson,Andrew Jackson,False,"Happily it is already illustrated that the agency of such an institution is not necessary to the fiscal operations of the Government. The State banks are found fully adequate to the performance of all services which were required of the Bank of the United States, quite as promptly and with the same cheapness. They have maintained themselves and discharged all these duties while the Bank of the United States was still powerful and in the field as an open enemy, and it is not possible to conceive that they will find greater difficulties in their operations when that enemy shall cease to exist.",5,2,0.5,0.5,era-distinctive-reference-v1
expansion,The continental republic,1809,1849,3,national bank,national bank,institution,12,6,3847,0,28684,0.0031193137509747857,0.0,5.230932927639988,1.4423229819405907,3.626741716756095,0,12,AI only,national bank,,adversarial,/the-presidency/presidential-speeches/december-2-1839-third-annual-message-congress,80,"December 2, 1839: Third Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-2-1839-third-annual-message-congress,Martin Van Buren,Martin Van Buren,False,"I am aware it has been urged that this control may be best attained and exerted by means of a national bank. The constitutional objections which I am well known to entertain would prevent me in any event from proposing or assenting to that remedy; but in addition to this, I can not after past experience bring myself to think that it can any longer be extensively regarded as effective for such a purpose. The history of the late national bank, through all its mutations, shows that it was not so. On the contrary, it may, after a careful consideration of the subject, be, I think, safely stated that at every period of banking excess it took the lead; that in 1817 and 1818, in 1823, in 1831, and in 1834 its vast expansions, followed by distressing contractions, led to those of the State institutions.",5,2,0.5,0.5,era-distinctive-reference-v1
expansion,The continental republic,1809,1849,4,buenos ayres,Buenos Ayres,nation,10,8,3847,0,28684,0.0025994281258123215,0.0,5.056058231999108,1.4475957804548947,3.492727942609977,7,3,AI + NER,Buenos Ayres,Buenos Ayres,neutral,/the-presidency/presidential-speeches/december-1-1834-sixth-annual-message-congress,15,"December 1, 1834: Sixth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-1-1834-sixth-annual-message-congress,Andrew Jackson,Andrew Jackson,False,"Our representatives to Central America, Peru, and Brazil are either at or on their way to their respective posts. From the Argentine Republic, from which a minister was expected to this Government, nothing further has been heard. Occasion has been taken on the departure of a new consul to Buenos Ayres to remind that Government that its long delayed minister, whose appointment had been made known to us, had not arrived.",5,2,0.5,0.5,era-distinctive-reference-v1
expansion,The continental republic,1809,1849,5,general herrera,General Herrera,person,7,2,3847,0,28684,0.001819599688068625,0.0,4.718804541834611,1.4606945533305369,3.2305210771651347,0,7,AI only,General Herrera,,neutral,/the-presidency/presidential-speeches/december-8-1846-second-annual-message-congress,49,"December 8, 1846: Second Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-8-1846-second-annual-message-congress,James K. Polk,James K. Polk,False,"These communications rendered it highly probable, if not absolutely certain, that our minister would not be received by the Government of General Herrera. It was also well known that but little hope could be entertained of a different result from General Paredes in case the revolutionary movement which he was prosecuting should prove successful, as was highly probable. The partisans of Paredes, as our minister in the dispatch referred to states, breathed the fiercest hostility against the United States, denounced the proposed negotiation as treason, and openly called upon the troops and the people to put down the Government of Herrera by force. The reconquest of Texas and war with the United States were openly threatened. These were the circumstances existing when it was deemed proper to order the Army under the command of General Taylor to advance to the western frontier of Texas and occupy a position on or near the Rio Grande.",5,2,0.5,0.5,era-distinctive-reference-v1
