schema_version,contract_version,edge_id,edge_type,scope_type,scope_id,scope_label,story_era_id,president_profile_id,president_name,topic_id,topic_level,topic_label,topic_paragraph_count,topic_appearance_count,eligible_president_paragraph_count,eligible_president_appearance_count,scope_topic_paragraph_count,scope_eligible_paragraph_count,speaker_paragraph_share,topic_contribution_share,topic_scope_share,president_support_status,edge_support_status,default_visible,topic_free_denominator_policy,multi_label_counting_policy,evidence_receipt_count,interpretation_policy
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_ceffda65bb606fae543a2d825476a91e75bfbe578ff2d6923521d6831a67fee7,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,Foreign Relations & Diplomacy,49,13,254,22,8414,32531,0.19291338582677164,0.005823627287853577,0.2586455995819372,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_4ae0f3bbcea4b3f3a0cc8243fa04b83e580a1b6eccdb3682ac34977ad276197c,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,30,10,254,22,5527,32531,0.11811023622047244,0.005427899402931066,0.16989948049552733,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_ee4d19ee43390dd3934c36416110075d0a1861e9dcce2b0322d7f31d4a2e80ac,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_c111a85539516b19ce3d0ebf88102afc3f5136f06811be7ef7952ae6cc9d714c,level1,Public Finance & Taxation,23,8,254,22,2743,32531,0.09055118110236221,0.008384979948960992,0.08431957210045803,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_45b865bf45e6400190b81b89429af119bdc4c755adf9a5ede3834024dc6cac8a,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_3493d9b6ff51b17cc78f8191a4ac1b2eae5bb4ff7f269114b248d590851a7ed8,level1,Indian & Tribal Affairs,57,11,254,22,682,32531,0.22440944881889763,0.08357771260997067,0.02096461836402201,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_45a693cbac91e4283f1cd8996a253541a8fa350ac65935c29684062a392f54c9,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_3676810b2915e5e08405c3c9e3ed6b588696c94d35d477e10ed9cc62058597b4,level1,"Law, Crime & Justice",36,10,254,22,1315,32531,0.14173228346456693,0.02737642585551331,0.0404229811564354,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_259b1a0d7d1d6766967c132440e2633fde6ed8fafe09998b3bb26f6fe209d031,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_b9fc73bb18ca058e7f189c867a51071c93e7fea7d67167933f18846a43f46e2c,level1,Constitutional Order & Governance,59,14,254,22,4188,32531,0.23228346456692914,0.014087870105062083,0.12873874150809997,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_d0285f8e32944421b988cd7818101c5c5233592cc937671898d75255cac4d6c6,president_topic,corpus,all-corpus,All eligible corpus,,george-washington,George Washington,topic_73fe8a26a7881c104f8ac0ee90b445177eabd28ec5e36d34a3bdcacd0505cba1,level1,Faith & National Values,31,12,254,22,2953,32531,0.1220472440944882,0.010497798848628514,0.09077495312163782,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_976ee9ccd0908cc499ec5b41aa45a08a271e774d923becd11c510108d5ccb236,president_topic,corpus,all-corpus,All eligible corpus,,john-adams,John Adams,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,Foreign Relations & Diplomacy,57,7,107,9,8414,32531,0.5327102803738317,0.006774423579748039,0.2586455995819372,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_01a04a973e8b4c48fa65a8d765fa1fd3e8c24830a89e055f740d16bc8fa65257,president_topic,corpus,all-corpus,All eligible corpus,,john-adams,John Adams,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,20,5,107,9,5527,32531,0.18691588785046728,0.0036185996019540436,0.16989948049552733,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
actual-speaker-topic-edge-v1,actual-speaker-topic-network-v1,edge_6cb8cb237d6bc038dedb51ab4d2edaa360eb685088596aa568d86b7c0da53304,president_topic,corpus,all-corpus,All eligible corpus,,thomas-jefferson,Thomas Jefferson,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,Foreign Relations & Diplomacy,78,16,314,25,8414,32531,0.2484076433121019,0.009270263845971,0.2586455995819372,supported,supported,True,"All eligible actual-president paragraphs, including topic-free paragraphs, remain in president and scope denominators; topic-free paragraphs create no membership and no edge.",Count each distinct normalized Level 2 topic once per paragraph and each distinct derived Level 1 parent once per paragraph. Preserve one full paragraph-presence membership for every topic; do not divide a paragraph fractionally. Topic shares are non-additive and may sum above 100%.,3,"Descriptive AI-assigned topic presence in speaker-audited Miller Center paragraphs. It is not historical validation, model confidence, presidential intent, importance, influence, causality, policy success, or representation of the public or presidency as a whole."
