level,treatment,topic,level1,n_paragraphs,under_powered,first_year,peak_year,peak_era,peak_share,last_year,first_share,last_share,rise_rate_per_decade,fall_rate_per_decade,era_of_relevance,dominant_era,n_substantive_years,max_gap_years,lifecycle_class,rename_class,legacy_parents,corex_parent_ratios,corex_decline_ratio,corex_persists,llm_decline_ratio,successor_topic,successor_corr,cross_domain_candidate,first_era_share,first_era_share_lo,first_era_share_hi,peak_era_share,peak_era_share_lo,peak_era_share_hi,final_era_share,final_era_share_lo,final_era_share_hi
level1,genre_standardized,"Agriculture, Land & Environment",,1639,False,1790,1927,Progressives & Depression,0.19417030586105263,2026,0.03893855214000551,0.04101204637770302,0.011330784943142127,0.015470531260944404,The founding → The present era,Progressives & Depression,209,9,persistent,,,,,,,,,,0.02724746712064563,0.01430371300760865,0.04319016206513207,0.08486409040011439,0.06469436819620991,0.10584484271749335,0.03417693680452568,0.021922977524820135,0.04253962722269824
level1,genre_standardized,Ceremonial & Commemorative Address,,656,False,1799,1925,Progressives & Depression,0.11904509371107819,2026,0.03915171564267072,0.04365566171304538,0.006340744291143449,0.00746430019782503,The founding → The present era,The Gilded Age,117,24,persistent,,,,,,,,,,0.022310750307684524,0.0,0.024483003010517104,0.030876560175240212,0.010620115970947109,0.06580782305780118,0.030122575525865055,0.020238251683043038,0.04477826508410572
level1,genre_standardized,Civil Rights & Immigration,,2990,False,1849,1864,Civil War & Reconstruction,0.4176430763937178,2026,0.04755768198626176,0.14377713569405717,0.24672359627163737,0.016905304981460534,Expansion → The present era,Civil War & Reconstruction,98,33,revived,,,,,,,,,,0.004001742843173619,0.0,0.0075785695223670934,0.33987153047689705,0.21493737941570887,0.37450385395849894,0.14261234852559312,0.11368416646080758,0.1699660137354849
level1,genre_standardized,Constitutional Order & Governance,,4502,False,1789,1862,Civil War & Reconstruction,0.37114315589595104,2026,0.0794750398303083,0.1318024754545307,0.03995453644734832,0.014593943929354898,The founding → The present era,Civil War & Reconstruction,213,7,persistent,,,,,,,,,,0.08212064310180728,0.058615003937415346,0.12401068169266016,0.28677547378830626,0.19376722458054846,0.3180392927860928,0.08293271265730975,0.05512410378674396,0.12629706954678663
level1,genre_standardized,"Economy, Labor & Social Welfare",,4255,False,1900,1935,War & New Deal,0.5550270102856697,2026,0.058987366059113075,0.14864586971806726,0.14172561263615904,0.044657268194242025,The Gilded Age → The present era,Post-Cold War,123,4,born,,,,,,,,,,0.0010004357107934046,0.0,0.0032700025613220307,0.23620602599991555,0.15512169712901855,0.35934562544510074,0.2162172419477032,0.1688820856515586,0.2672160447093377
level1,genre_standardized,Faith & National Values,,3109,False,1789,1822,Expansion,0.3039696981617201,2026,0.13119186021890908,0.1397477095625581,0.05235692058873061,0.008050097480351077,The founding → The present era,Expansion,201,12,persistent,,,,,,,,,,0.09103074059360924,0.07001969081490139,0.11182923750421249,0.24764795991471675,0.03373636982162552,0.2521213341509433,0.12190456930101702,0.09758738771575934,0.15856561414237205
level1,genre_standardized,Foreign Relations & Diplomacy,,9456,False,1790,1820,Expansion,0.6341797577698673,2026,0.11398132661758016,0.21008347056025406,0.1733994770507624,0.020587198408233656,The founding → The present era,Expansion,238,0,persistent,,,,,,,,,,0.243184428157383,0.19042800675376173,0.29480615796234483,0.4790607764725738,0.24826037243624324,0.5216131719559784,0.16764093872878827,0.1446373159189802,0.20165348868606947
level1,genre_standardized,Indian & Tribal Affairs,,687,False,1790,1790,The founding,0.5011621200761289,1892,0.5011621200761289,0.05334404060613384,,0.04390373328137207,The founding → The Gilded Age,The founding,55,30,died,,,,,,,,,,0.315259427928534,0.23756911724655694,0.36040434530629484,0.315259427928534,0.23756911724655694,0.36040434530629484,0.0005317100036629223,0.0,0.0017352124035671433
level1,genre_standardized,Infrastructure & Internal Improvements,,1981,False,1801,1975,The Cold War,0.15287503097166255,2026,0.01781375239816946,0.05217454316362623,0.007762142446752477,0.01974519368785026,The founding → The present era,Progressives & Depression,206,8,persistent,,,,,,,,,,0.011796370189565513,0.0029661814583131583,0.02386026900239493,0.05618696190352067,0.04465742822623331,0.07025081466908584,0.07597881791108896,0.0473781491320035,0.09034509984794774
level1,genre_standardized,"Law, Crime & Justice",,1464,False,1790,1793,The founding,0.21340213705742087,2026,0.09329417946696913,0.12441510570871327,0.40035985863483914,0.0038191858947943177,The founding → The present era,The present era,154,19,persistent,,,,,,,,,,0.05454035389671896,0.015367228280406096,0.10291302847022164,0.05454035389671896,0.015367228280406096,0.10291302847022164,0.09657473700195765,0.07869400923200855,0.1129079120202245
