selection_order,series_id,series_label,series_kind,instrument,query,grouping_active,family_label,family_form_count,family_forms,period_kind,period,period_order,period_start,period_end,x,display_value,display_unit,numerator_count,denominator_count,denominator_unit,point,lo_sampling,hi_sampling,lo,hi,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width,ci_components,disagreement_status,agreement_source,value_status,source_scope
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1789,0,1787,1791,1789,,"uses per 10,000 indexed words",,,indexed source-document words,,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,unknown_low_words,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1790,1,1788,1792,1790,,"uses per 10,000 indexed words",,,indexed source-document words,,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,unknown_low_words,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1791,2,1789,1793,1791,,"uses per 10,000 indexed words",,,indexed source-document words,,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,unknown_low_words,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1792,3,1790,1794,1792,,"uses per 10,000 indexed words",,,indexed source-document words,,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,unknown_low_words,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1793,4,1791,1795,1793,,"uses per 10,000 indexed words",,,indexed source-document words,,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,unknown_low_words,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1794,5,1792,1796,1794,0.0,"uses per 10,000 indexed words",0,23724,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1795,6,1793,1797,1795,0.0,"uses per 10,000 indexed words",0,28414,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1796,7,1794,1798,1796,0.0,"uses per 10,000 indexed words",0,29083,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1797,8,1795,1799,1797,0.0,"uses per 10,000 indexed words",0,26967,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1798,9,1796,1800,1798,0.0,"uses per 10,000 indexed words",0,26269,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1799,10,1797,1801,1799,0.0,"uses per 10,000 indexed words",0,20844,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1800,11,1798,1802,1800,,"uses per 10,000 indexed words",,,indexed source-document words,,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,unknown_low_words,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1801,12,1799,1803,1801,0.0,"uses per 10,000 indexed words",0,20902,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
1,lexical-exact:tariff,tariff,lexical-exact,Exact lexical form,tariff,false,,,,centered_year5,1802,13,1800,1804,1802,0.0,"uses per 10,000 indexed words",0,20248,indexed source-document words,0.0,,,,,,,,not_applicable_lexical_rate,false,false,,not_applicable_lexical_rate,not_applicable_lexical_rate,not applicable,observed_zero,Complete source-document transcripts
